?qid	?name
Q105448418	"Aalayah Eastmond"@ast
Q105453182	"Elizabeth Cameron"@en
Q105459066	"Fani Willis"@bs
Q105460	"Džons Denvers"@lv
Q105470833	"Marina Murdock"@ast
Q105480	"Kenet Kaunda"@eo
Q105553206	"Ronald J. Tenpas"@ast
Q105562743	"Jeffrey Sammons"@en
Q105626402	"Elsa Walsh"@en
Q105662348	"Julie Wertz Chen"@de
Q105667	"Catherine Ashton"@ast
Q105667131	"Judith Ann Giesberg"@ast
Q1057418	"Joseph C. (Joseph Charles) Wilson"@cs
Q105750350	"Thaddeus Garrett"@ast
Q105756	"Con Apdayk"@az
Q105763523	"Dilawar Syed"@de
Q105763534	"Paul Abbate"@de
Q1058	"Modi Narendra"@vep
Q105817	"Kevin Klajn"@sr-el
Q105834537	"Allen Chen"@en
Q105840277	"Bonnie Guiton"@de
Q105849203	"John J. Curley"@en
Q105865073	"Mary Hatwood Futrell"@en
Q1059265	"Chaka Fattah"@ast
Q105946295	"Ginger Adams Otis"@de
Q105946646	"Pierre Thomas"@ast
Q105958873	"Linda Johnson Rice"@de
Q105958890	"Patricia Russell-McCloud"@de
Q1060181	"Chalmers Johnson"@ast
Q1060609	"Mark Thompson"@af
Q106089241	"Julia Letlow"@ast
Q106169496	"Cynthia E. Orozco"@dag
Q106193	"Larss Ulriks"@lv
Q106235	"Hans-Dietrich Genscher"@af
Q106287238	"Candace Jackson-Akiwumi"@ast
Q106315139	"Val Arkoosh"@de
Q106316982	"Peter Charles Hoffer"@en
Q106355213	"Ronald Moultrie"@de
Q1063677	"Charles Bass"@ast
Q1063859	"Charles Byron Renfrew"@ast
Q106399446	"Kathy Barnette"@da
Q1064244	"Charles E. Bennett (politician)"@cs
Q1064383	"Charles Floyd Hatcher"@ast
Q1064457	"Charles Fried"@af
Q106448072	"Julie Rovner"@en
Q1064593	"Charles Grandison Rose"@de
Q106465	"Con Qrişam"@az
Q1064692	"Charles H. Percy"@ca
Q1064695	"Charles H. Taylor"@ast
Q1064774	"Charles Arthur Hayes"@fr
Q10648	"Gòrdan Mac a' Bhriuthainn"@gd
Q106480279	"Kathleen Plinske"@ast
Q106481340	"Susanna Blume"@de
Q106490056	"Jerry C. Davis"@ast
Q106513	"Richard Sonnenfeldt"@ast
Q10652	"Ailig Salmond"@gd
Q1065216	"Charles Krauthammer"@ast
Q106522145	"Max Miller"@ast
Q106529099	"Meredith Sumpter"@en
Q106534716	"Christopher C. Jeter"@en
Q106540517	"June Teufel Dreyer"@ca
Q106543540	"Sam Bankman-Fried"@af
Q1065595	"Charles A. Murray"@cs
Q1065683	"Charles Orville Whitley"@ast
Q106570273	"Graeme B. Dinwoodie"@pl
Q1065727	"Charles Pashayan"@de
Q106579388	"Mark Johnson"@ast
Q106589463	"Jamal Greene"@en
Q1065931	"Charles Britt"@it
Q1065951	"Charles Ruff"@ast
Q106617240	"Leila Nathoo"@an
Q106638282	"Stephen Wermiel"@de
Q106688196	"Amy Woolard"@en
Q1066931	"Charlie Luken"@ast
Q106694209	"Eduardo Gamarra"@ast
Q106723477	"Christina Campbell-Cline"@de
Q106730251	"Toby Stock"@de
Q106804665	"Sally Buzbee"@af
Q106900901	"Brenda Mallory"@ast
Q106988676	"Peter W. Wood"@de
Q106997	"Ceymi Li Körtis"@az
Q107024052	"DaMaris B. Hill"@en
Q1070268	"Peter Hessler"@ast
Q107037	"Leimaha Gbovī"@lv
Q1070716	"Chester G. Atkins"@ast
Q107113613	"Bruce C. Levine"@ast
Q10711435	"Henry D. Owen"@ast
Q107168591	"Cristina A. Bejan"@en
Q1071782	"Chic Hecht"@ast
Q107292907	"Carlos Monje"@en
Q107296262	"Ruth Ann Stewart"@af
Q107299118	"Matt Mahan"@ast
Q107324579	"Justin Shubow"@de
Q107340439	"David Asher"@de
Q107358884	"Benjamin Wallace-Wells"@de
Q107380068	"Carolyn N. Lerner"@ast
Q107380107	"Jennifer Sung"@ast
Q107389111	"Edward Yardeni"@en
Q107394850	"Lee Satterfield"@ast
Q107437267	"Alexander McCobin"@en
Q1074506	"Chip Cravaack"@ast
Q1074614	"Ishmael Beah"@ast
Q107462802	"Helen Andrews"@en
Q107525181	"Joe Wright"@en
Q107570061	"Barry Richard"@ast
Q107588975	"Julilly Kohler-Hausmann"@en
Q1076090	"Vivek Kundra"@ast
Q107610092	"Jonathan Kanter"@ast
Q107667	"Džons Jangs"@lv
Q1076935	"Chris Abani"@ast
Q1076962	"Chris Austin Hadfield"@de
Q1076991	"Chris Bell"@ast
Q107707822	"Shirin Sinnar"@en
Q1077115	"Chris Coleman"@ast
Q107719141	"J. Thomas Manger"@en
Q1077380	"Chris John"@ast
Q1077474	"Chris Lee"@ast
Q107749533	"Ralph Benko"@dag
Q107751052	"Michael C. Bender"@ast
Q1077594	"Chris Murphy"@ast
Q1077819	"Chris Van Hollen"@ast
Q107863952	"Shontel Brown"@af
Q107957	"Alexander Haig"@ca
Q108010312	"Mike Carey"@ast
Q1081144	"Rafael Palmeiro"@ast
Q1081317	"Christian Parenti"@ast
Q108146377	"Fred Guterl"@en
Q108301435	"David Bozell"@de
Q108333790	"Tamika Nunley"@en
Q108366	"Gregorijs Peks"@lv
Q108419247	"Catherine Lucey"@de
Q108453737	"Debra Reddin van Tuyll"@en
Q10853588	"Kamala Haris"@sgs
Q108540232	"Alvaro Bedoya"@en
Q10857432	"Paulus Klimkin"@la
Q10858594	"Jacob Weisberg"@af
Q108596675	"Farah Peterson"@en
Q10860037	"Nicholas Lemann"@ast
Q108634	"Tom Buhrow"@ast
Q1086484	"Christopher Andrew"@ast
Q1086549	"Christopher Buckley"@ast
Q10869229	"Chiu Hungdah"@ast
Q1086964	"Chris Shays"@ast
Q108757404	"Beverly Gage"@af
Q108793477	"Frances Haugen"@af
Q108818613	"Shelli Avenevoli"@en
Q108886	"Harrison Hagan Schmitt"@de
Q108897906	"Charles Eisendrath"@en
Q108907072	"R. Scott Stephenson"@en
Q1089112	"Charles Douglas III"@bar
Q1089199	"Chuck Todd"@ast
Q108935	"Maria Steenburgen"@la
