?qid	?target_col	?target_col_guid
Q1000053	Vasily	Q1000053-4892D9A2-6624-42B0-9483-39B8B6294ECB
Q100276775	Greisa	Q100276775-f8e8cd64-4169-a72b-df53-1568bc241859
Q100308956	Bruce	Q100308956-844D6E20-A38E-44AF-A290-8A7BFB966458
Q100348099	Dane	Q100348099-9b926072-4aa7-9a55-dde8-39066f06e202
Q100348099	Keith	Q100348099-f0e1d80f-4a73-7489-4c46-270bde6e109f
Q100375929	Stephanie	Q100375929-6E75B8D2-9CB2-4264-B827-B469596845FF
Q100417135	Matt	Q100417135-fb789cc7-4121-cdb6-faa8-f5c49427b3a3
Q100526292	Melissa	Q100526292-14b78ab7-4d71-e802-eab0-5c9fbb3fa90c
Q100526292	Simone	Q100526292-3156cae9-4f56-a9f3-78da-75e68da4e5ae
Q100605223	Eric	Q100605223-98e28970-4e76-639a-bb1f-16d4033ecba0
Q100706901	Jake	Q100706901-8E16DE87-0E34-4587-991E-330515355792
Q100761425	Bess	Q100761425-97334db1-46e8-e7f2-e8cc-ff23c2e6ed60
Q100761425	Elizabeth	Q100761425-fd0428c7-4499-719b-52f8-3e8ac5c41433
Q100879343	Mary	Q100879343-faf75582-4e8b-2835-c7cc-854fe9e4f67d
Q100963892	Glenn	Q100963892-D9F407A0-0586-4D52-BEA5-912D38436799
Q100987749	Matt	Q100987749-0AD99D04-6CBC-43D4-8160-E48E2505613E
Q101008686	Rosina	Q101008686-e30deeef-4933-22ea-433a-eeea6ff43013
Q101021225	Nina	Q101021225-188DD8AF-5282-4BEF-B53E-CA98975DD3BE
Q101097022	Mike	Q101097022-8fb7699e-4bb9-5c3e-e2d4-26fa7c5f4301
Q101111778	Ronald	Q101111778-2913ec48-455e-0383-d4a2-748d39cd0e3e
Q101136890	Kathy	Q101136890-fbae2c90-424b-cb34-2dd2-5cc571ec8a60
Q101181655	Daniel	Q101181655-6fd64851-4856-4b96-5217-0d15bc17aca8
Q101196462	August	Q101196462-97D6A69E-C053-444D-B278-B437CF91A29B
Q101196632	Jake	Q101196632-dc524dcd-405b-9dd0-ebef-c739c4d29596
Q101196971	Blake	Q101196971-e1608311-4852-b4d8-db04-1555f8ae7c37
Q101197341	Diana	Q101197341-B440A8A7-54CA-4F38-BACB-CF180E96F1FF
Q101198561	Clifford	Q101198561-D78A238E-4998-4E67-86DA-15656F96C16D
Q101198561	Scott	Q101198561-1600c87a-47b7-8129-5707-70a8c0c42f7b
Q101204553	Mary	Q101204553-291ecd95-46ce-559d-c15b-5a11fee36fbd
Q101207829	Alan	Q101207829-3c620452-4ec6-b70d-3711-336d48217c0b
Q101207829	William	Q101207829-75884fb7-47f7-8fea-60c5-a154852e75d6
Q101251378	Nancy	Q101251378-4516c725-4a9a-ff9e-1454-e1e909926b3a
Q101252098	Chad	Q101252098-13f02baa-42f9-fa0b-e35f-8b3e69604513
Q101410	François	Q101410-22A66418-1C46-4E69-9509-0D9E0120702D
Q101423008	Julie	Q101423008-ae48ce77-449e-3ab0-39b3-da14c7ad5579
Q101423348	Charles	Q101423348-e5c3d7c3-438a-fb0a-d236-1b70652e5524
Q101423348	Christopher	Q101423348-1a310e72-4e8b-b1c7-b388-b99321b60ce8
Q101428652	Jasmine	Q101428652-DF6C0C8D-8014-4668-82BE-262337D5EF65
Q101486630	Douglas Charles Ford	Q101486630-733648db-4927-b21e-be97-389c94a5fb9e
Q101535270	Larry	Q101535270-186BD80D-BF33-483A-81A3-42FEBA338064
Q101547	Thabo	Q101547-15C9180A-26A2-4491-AF83-1B5BDF9DEA0F
Q101704387	John	Q101704387-2aec0752-4731-644d-5355-955e22a8965a
Q101713828	Katherine	Q101713828-ca59c609-46a0-e3a5-4b5e-edca40182720
Q101713828	Sidney	Q101713828-894ea235-4833-7127-dc7c-57de70a4820f
Q1018322	Donald	Q1018322-528E9E95-13D7-4370-8440-737701ECC2C5
Q101994408	Abby	Q101994408-96EBB5A5-BF73-4D4E-982A-927109E3129F
Q102036550	Joan	Q102036550-7b13e899-4562-2180-285e-395a82ff93be
Q102036550	Katherine	Q102036550-f49180fd-4a9b-c788-2426-53a84997ef7a
