?qid	?target_col	?target_col_guid
Q101410	Paris	Q101410-31F7EAE2-9749-4EE4-B87C-6F6DB23FB41B
Q101486630	Harrisburg	Q101486630-040bf929-477b-66f8-57c9-f57e7602bfe2
Q101486630	Philadelphia	Q101486630-398bcd53-4018-3e2a-4069-2032f9880998
Q101486630	Washington, D.C.	Q101486630-c395458b-4f46-0654-ddeb-c24ca3321749
Q1018322	Washington, D.C.	Q1018322-73DD4C0D-39E2-4813-9C2E-454003575D3E
Q102124	United States of America	Q102124-596552ED-61E2-4ED7-8268-5A8FA58AFBBA
Q1026119	Washington, D.C.	Q1026119-9CD5A800-5759-4752-873A-5CF6CFA799AB
Q1027026	Washington, D.C.	Q1027026-BA3BF01C-2D3E-42BF-BFB8-781DDBBCC80B
Q1027431	Washington, D.C.	Q1027431-B122B3D2-16C9-47E0-8A78-9FA9092788DE
Q1027684	Washington, D.C.	Q1027684-38FFE72B-9A32-4D44-9FC1-F3E912DD5988
Q1029527	Washington, D.C.	Q1029527-EB8BBDC1-68B4-41C2-A5A5-5346AAF7AD4E
Q1033016	United States of America	Q1033016-B787D376-77E8-4397-A625-C0D797DD2BF3
Q1037241	Washington, D.C.	Q1037241-EFE606A9-60B5-4859-B316-5F9CC5A9E089
Q10374168	Stanford	Q10374168-496e77df-44e5-c2ac-0ebd-7c55ee3dade9
Q1037428	Washington, D.C.	Q1037428-1801EC01-8C8D-40C4-962A-11DCD8B69CEE
Q10390	Washington, D.C.	Q10390-9B3E2B32-1C55-4FF9-8988-5870AE25C708
Q104049	The Bahamas	Q104049-c63de919-ada0-4968-925a-4b6ffd7a7751
Q1043079	Sacramento	Q1043079-186523BC-3E2E-404D-80BC-8ACF65CDB6EC
Q1043079	Washington, D.C.	Q1043079-5384208D-1E0C-4706-ACA2-81D42C107855
Q1045188	Washington, D.C.	Q1045188-82A6B94F-9966-48BB-BE73-54BC6883EAE8
Q1045798	Washington, D.C.	Q1045798-C8DF3A31-800B-4145-B9B6-1F0D9509C9BC
Q104640827	Dallas	Q104640827-ce00faaf-4476-c936-8ac4-912483ef2434
Q104640827	Denver	Q104640827-6b3b5388-4932-aac7-576c-77a65c670a4f
Q104640827	Harlem	Q104640827-7b1f8b23-4782-1f56-1cab-50a015ce8008
Q104640827	Rochester	Q104640827-1b799dac-42bf-012b-0112-26dcf09355a9
Q104791	United States of America	Q104791-87BF5C3B-32F2-4F42-9C66-392D2B637F96
Q1048182	Raleigh	Q1048182-96626FE1-0996-47C6-B5EA-492122D667DD
Q1048182	Washington, D.C.	Q1048182-37954F66-3982-4782-A244-B2C675A4CBFC
Q1052306	Washington, D.C.	Q1052306-249DAEBB-34B7-4E71-ACC1-49B55A0A7EE2
Q105459066	Atlanta	Q105459066-8bfb4a71-4f40-0375-a25a-c4ffb0605eba
Q105480	Lusaka	Q105480-7aa6f52d-496a-cefe-0b96-425f8d5bd86a
Q105480	Mufulira	Q105480-7b640eba-488b-d9b3-d5c4-2dbac5f646bb
Q105667	London	Q105667-1BA844FA-29E5-4C72-9F4B-72575CB7F0FF
Q1059265	Harrisburg	Q1059265-ED1A6EA8-6C58-4A7F-8CE4-5845CEA487AF
Q1059265	Washington, D.C.	Q1059265-FB3FF05F-E3D6-4114-9A21-2107A30A9312
Q106235	Bonn	Q106235-F2629176-472D-42E9-B041-789C9DE8B735
Q1063677	Washington, D.C.	Q1063677-770B0C72-1128-49E5-A9D7-037D4FBD4457
Q1064244	Tallahassee	Q1064244-0855D86F-A1BB-47A8-835D-0F003DF52E9A
Q1064383	Atlanta	Q1064383-D05597B6-C501-45B5-B647-1F8DDC6995D0
Q1064383	Washington, D.C.	Q1064383-1E99BCB0-FFA1-47B0-AA65-331AB280A10D
Q1064593	Washington, D.C.	Q1064593-E7EAD97E-7896-4751-9549-69643D6AB811
Q1064692	Washington, D.C.	Q1064692-DAC44801-56B8-4DA2-A3C4-235D29E6446E
Q1064695	Raleigh	Q1064695-AA8288DC-F35D-4E1D-AD0E-1D8D9AC92179
Q1064695	Washington, D.C.	Q1064695-1C19ADE2-2EE9-459F-903A-72491FBCB179
Q1064774	Washington, D.C.	Q1064774-BFD89C06-88FE-4CDB-BFB0-F854AD258478
Q10648	London	Q10648-3F69629A-8322-4FFF-AFC5-DB582B4E7F34
Q10652	London	Q10652-807F2C64-9183-41BB-BBE4-87721856B540
Q106522145	Washington, D.C.	Q106522145-44120b86-40f7-644e-7469-c2dd74f887a9
Q1065683	Washington, D.C.	Q1065683-EE528DA9-44B9-438B-BAF7-F6C589C608CC
Q1065727	Washington, D.C.	Q1065727-27282B40-0BC2-42E1-80F7-19DDDD74E252
Q1065931	Washington, D.C.	Q1065931-F1B34438-DF54-42EE-B47C-E966B78C3037
Q1066931	Washington, D.C.	Q1066931-614EDD12-117B-4163-8F84-D1BE96AC6A26
Q106997	United States of America	Q106997-E730A7B0-880E-4AE9-947B-E9A3B01B3985
Q1070716	Washington, D.C.	Q1070716-72A1C31D-6A83-4CEC-B734-55F9DD5B6387
Q1071782	Washington, D.C.	Q1071782-2DC778C7-57BC-4ACF-808D-F5237F0DD8C9
Q1074506	Washington, D.C.	Q1074506-38A32515-0484-4DD7-886A-26872FFE1C02
Q1074614	New York City	Q1074614-A21DC569-AFB5-464F-92C3-29C20236D17F
Q1076991	Washington, D.C.	Q1076991-BA777567-DA19-495A-8C55-1E65A2F9FC81
Q107707822	Stanford	Q107707822-44D8EB06-AAB1-421A-AA2B-B799771B0D80
Q1077380	Baton Rouge	Q1077380-6122B1B2-6B67-43F8-A552-DCAF31F4609E
Q1077380	Washington, D.C.	Q1077380-A16F8590-28FD-4D0F-B68D-16C9EC147E60
Q1077474	Washington, D.C.	Q1077474-B4148A59-734A-48F3-AFA4-8B6FC4E479DE
Q1077594	Washington, D.C.	Q1077594-619B1906-D7C7-4502-8429-D73731B1C45D
Q1077819	Annapolis	Q1077819-2465878c-4a0d-f9d0-f78c-62fed4818e6f
Q1077819	Washington, D.C.	Q1077819-677FEFB9-7A3E-4768-B47F-4CBBA68B8396
