?qid	?target_col	?target_col_guid
Q100417135	<https://themattwalshblog.com/>	Q100417135-bc255de2-49ec-b4c6-c252-8236c84a50ac
Q100526292	<https://www.drsimonegold.com/>	Q100526292-b1c69640-4587-7a06-3730-ddb1584f5db4
Q100879343	<https://history.ucla.edu/faculty/mary-yeager>	Q100879343-02b39724-4553-d6d4-4a23-43a5d0d5b0b5
Q101008686	<https://history.princeton.edu/people/rosina-lozano>	Q101008686-1dd18ee0-4461-0387-ffd4-0ed87d997910
Q101021225	<https://wiczipedia.com/>	Q101021225-48ce5f36-49f1-6b04-df23-6d244927005c
Q101197341	<http://harshbarger.house.gov/>	Q101197341-23ec6b44-4511-1f92-3578-02adb40a0005
Q101535270	<http://larrysgibson.com/>	Q101535270-70cb17b2-4d20-8eda-0f0f-bfebe4c879a6
Q101713828	<https://www.sidneypowell.com/>	Q101713828-a0ef696d-4d8f-a4fb-f987-97efae5ac835
Q102131357	<https://hls.harvard.edu/faculty/sharon-block/>	Q102131357-c6d185a6-4511-07e0-dbe0-b8e4bb18eb03
Q102435716	<https://dianey.substack.com/>	Q102435716-f2982cf0-45ca-1787-5a1c-453db9c35099
Q1027026	<http://jeffduncan.house.gov>	Q1027026-7D4C519A-052B-46A8-92F0-5E884B0AF2A8
Q1029527	<http://womack.house.gov>	Q1029527-D7423AF5-8707-4F73-B006-650D22D6D568
Q10296812	<http://www.mfa.gov.ir/index.aspx?fkeyid=&siteid=1&pageid=2162>	Q10296812-4996DD17-F033-48A1-A9A0-19DDB8D43970
Q102973819	<https://alialexander.org>	Q102973819-5a5183ed-41b7-f509-b38d-d5228759ca1f
Q10374168	<https://profiles.stanford.edu/stephen-haber>	Q10374168-1642204F-E089-46EC-B88F-AFA507B8C010
Q103801729	<https://www.tiffanydcross.com/>	Q103801729-979beaf3-435b-6717-0796-cc9da1e41c32
Q10390	<https://www.johnmccain.com>	Q10390-3C74D893-49E4-4928-803E-943BA0D307FA
Q104438585	<https://shadygrove.umd.edu/about-usg/leadership-governance/office-of-the-executive-director>	Q104438585-a862c1db-437f-a353-dcff-ed636885e73e
Q104622	<https://tkif.org/en/>	Q104622-1b522c66-46fd-2414-ff47-63c610c46ffd
Q104640827	<http://carolynannknight.com/>	Q104640827-ff3866a5-4a1e-1003-bacd-f1a745bdceec
Q104704599	<http://www.mslatoshabrown.com/>	Q104704599-31a140a5-4a21-6582-e9d4-d3a80bb392a7
Q1047146	<http://www.caseycagle.com/>	Q1047146-DFE94407-79BA-4237-A067-BB3512AB3805
Q104783603	<https://christopherrufo.com/>	Q104783603-0e35ed09-4be2-3afa-57c4-9b84d3bc0669
Q104894795	<https://www1.cmc.edu/pages/faculty/JPitney/>	Q104894795-046b5337-4ca9-902b-3f13-267e19840ed2
Q105167	<https://tomclancy.com/>	Q105167-55b26ed0-470b-8cfc-fd39-7552738d6d23
