?qid	?target_col	?target_col_guid
Q100417135	MattWalshBlog	Q100417135-4dc83c2b-46f0-f402-f10b-edb247bc4598
Q100526292	AmericasFrontlineDoctors	Q100526292-96bce848-4238-f8bc-a2c1-792f3fb273e4
Q100526292	DrSimoneGold	Q100526292-8EDB5828-222C-4067-8619-B409F7EF6A04
Q101021225	nina.jankowicz.7	Q101021225-fb0e201c-429c-a870-5c08-7dc14e78fc08
Q101136890	KathyManningNC	Q101136890-97900C78-7C98-4829-AD2A-6679E25DA673
Q101410	fillon.francois	Q101410-da11e4ae-42b7-a468-5148-2781d4984b66
Q101428652	RepJasmine	Q101428652-85e071d2-4738-8bdb-03f5-e43db769a979
Q101486630	CommishSchmidt	Q101486630-c41a2d1f-4bea-e510-451c-c512b632d171
Q101713828	SidneyPowellAuthor	Q101713828-567efb11-40aa-8b08-1dc1-32dd4082a27b
Q102184540	lisa.mcclain.9693001	Q102184540-E56BF566-1E3F-4C26-8EB4-E659CED3A713
Q102277679	RepresentativeClyde	Q102277679-9981fa6e-466b-6928-7980-64ce435e572a
Q1027026	RepJeffDuncan	Q1027026-5F55208C-C5FE-4952-8651-6C18A7B11DD9
Q1029527	RepSteveWomack	Q1029527-15060B7C-CE01-435B-AC8C-4552073CD803
Q10296812	jzarif	Q10296812-83762ED6-8935-4EE5-8249-39219209E7F7
Q102973819	thealialexander	Q102973819-d5c0abd0-4a20-5235-2b8f-6b1a807a2ae3
Q1033016	HalleBerry	Q1033016-586BED52-1A2F-4456-9E9A-156FCC735341
Q103646	RealRonHoward	Q103646-429C8625-5E21-4C58-B920-283CC607A216
Q10390	johnmccain	Q10390-A943C2BE-1952-4893-A8B2-EBFB17FBAA9B
Q104244043	SecCardona	Q104244043-036e1faf-4806-4122-64fe-55bd77b7eb73
Q104640827	carolyn.ann.knight	Q104640827-49af6ada-4352-ca19-a97e-cfa31ccfe463
Q104640827	carolynannknight02	Q104640827-1a0d2d97-41ad-ab69-b673-3c4d489006ea
Q1047146	CaseyCagleGa	Q1047146-0475c1d7-4479-6ce5-18ef-fa6938f9b1e6
Q104783603	realchrisrufo	Q104783603-86cee350-48d5-eae4-e975-cbd7b9097bb7
Q105167	TomClancyAuthor	Q105167-90684BD9-0F34-41A0-92FD-76C98DF94D0E
Q105460	JohnDenver	Q105460-3FDC978F-97DA-4EC1-92E5-11EC036CCB41
Q1058	narendramodi	Q1058-376FE1C5-96E8-4193-994B-3363EE9BA159
Q1059265	repfattah	Q1059265-5554F0DF-B43D-489B-8AD9-C60DFF8E23BF
Q106089241	julialetlow	Q106089241-856EE6C6-85A1-497B-90DB-88C63A07732F
Q106193	Lars-Ulrich-Metallica-180336872017619	Q106193-a7451c0b-4588-83fc-19d2-53425e3b50ed
Q106399446	KathyBarnetteLIVE	Q106399446-6717C68D-F545-46E1-8C23-860F1E94154D
Q106465	JohnGrisham	Q106465-1478CB73-E85D-4312-B487-96D775044587
Q10652	AlexSalmond	Q10652-5ba3e96e-4309-e40d-710c-ffa8320aadd6
Q106529099	meredith.sumpter.7	Q106529099-d7b72802-431f-93ba-ceb6-3c2046f447ec
Q106543540	sbf.ftx	Q106543540-3d9dfe75-417f-3f6b-9ddb-cd85ddd8b094
Q106579388	KTVBMarkJohnson	Q106579388-f73f93e3-4a36-2566-9a5f-33bb8135c09e
Q106997	JamieLeeCurtis	Q106997-C085563D-8570-4F36-8608-4C4F2257A6D6
Q107113613	bruce.levine.507	Q107113613-503643cf-497a-5ed4-e984-aecceb3eb3ab
Q107299118	MattMahanSJ	Q107299118-279be799-443a-7153-cc9f-3a2ec7896b8c
Q107299118	matthew.mahan	Q107299118-cdd47130-4743-4365-0323-37280366dc39
Q1076962	AstronautChrisHadfield	Q1076962-2F22557E-E4AC-40FB-A8DD-121EAD61E027
Q1077594	chrismurphyct	Q1077594-930BAC52-6792-45B1-888C-3ADCD106E31D
Q1077819	VanHollenForMD	Q1077819-198c2eea-48a1-3057-bd15-6b3da95aa691
Q1077819	chrisvanhollen	Q1077819-EC7468AA-C81E-40B8-BA81-9FFBAA76FAFC
Q108146377	fred.guterl	Q108146377-a008ed7a-4879-b4ca-daf4-a313b19e7000
Q10853588	KamalaHarris	Q10853588-c07be002-47a2-e7d2-0c63-b49f6ce149b2
Q10853588	SenatorKamalaHarris	Q10853588-e4a59fe9-4a8e-f7e3-4337-4d47392f881a
Q10853588	VicePresident	Q10853588-0dcad4bf-460e-60d0-e98e-ccafaecc1d7f
Q1089199	chucktodd	Q1089199-0799E72E-905A-478B-AE0C-6D92B3BE594E
Q109211689	czakrzewski	Q109211689-218D9769-16A7-4E5A-BF78-9C3276F3E171
Q1100609	mattlauer	Q1100609-dc300ff7-4e7f-dc41-2cb4-910efd354a45
Q110154	georgehtakei	Q110154-32AAC9C6-681A-4CA9-928E-10EE40497060
Q110434665	WesleyHuntTX	Q110434665-94744B31-9A10-478F-A5B9-5969122D8500
Q110436	105491489483500	Q110436-b227e2dd-4930-a0ed-5a0b-57a9b1c70e0e
Q110815967	harriethageman	Q110815967-503518c8-47ef-27a6-9f64-6967dfcbda1f
Q110876156	MikeWTidwell	Q110876156-15d9b42f-46c1-3fea-213a-704a1ca984c6
Q110876156	mike.tidwell.14	Q110876156-d3af2fe3-452c-548f-5744-965a5f4abdc7
Q110929772	jillisblack	Q110929772-47713a30-4d09-5898-96cf-d54a66a8cd82
Q11100	DevalPatrick	Q11100-50e4290f-4160-2502-723d-3410b0838ee6
Q11112119	repmialove	Q11112119-140ED077-4835-4D6D-811C-7F64FB88D689
Q111159803	BradFinstadforCongress	Q111159803-2B30396E-84E8-45A2-913E-176372859316
Q1112656	PeterWelch	Q1112656-B4A68A9E-BB01-4C28-B5EB-2FEE88FF8181
Q1112656	welchforvermont	Q1112656-2780cbc6-4294-8849-6c17-5e498ace2def
Q1113332	AndrewLih	Q1113332-647eaeb5-4ce0-5d9d-9a95-c1bc60ff9114
Q111535080	omar.alnidawi	Q111535080-68d4d501-422b-caf7-1f09-f4117e5df030
Q111623114	andyogles	Q111623114-133adee3-4965-9c98-9df6-359351137475
Q112189281	stephenestrang	Q112189281-27c2e05b-4da1-db1f-92e4-e471ee1889bc
Q112225711	michael.millemann.90	Q112225711-1e319324-4fa6-c4dc-233d-78dc8f514e4c
Q1124	billclinton	Q1124-40177950-14C1-44B8-8A39-437C50E6CE99
Q112577890	repmayraflores	Q112577890-3df1603f-48d0-128d-a537-b194c3d29f29
Q11351111	LaurieGarrettAuthor	Q11351111-7917C5DB-5A7D-4F00-9373-3D7C51987A79
Q1135767	corybooker	Q1135767-6129AE90-0DC2-4905-981F-D8A7E5B2AE9B
Q1135774	SenCoryGardner	Q1135774-C16789C1-41A7-44E2-B317-614FD122A45A
Q113587724	MaxwellFrostFL	Q113587724-6217974e-4d6b-1029-b66e-45e041a4d236
Q113691666	william.hogeland	Q113691666-77ac1676-42b2-443f-8087-9f433f29cd15
Q1137062	100050289497773	Q1137062-66646596-CF5B-4E0B-AA29-959B388D4BA9
Q1138996	Michael-Pollan-125708780820038	Q1138996-ecc584ce-4959-b91b-04bf-d262132a2068
Q113990215	kellyforalaska	Q113990215-E12F8D53-1FDE-488E-A6A5-011CE2261E13
Q114322	danaperino	Q114322-4d5dbd5a-4b97-32d9-0a09-41c0f674a24c
Q115137377	CoryMillsFL	Q115137377-0df389ca-4b0e-246c-ee64-5646428f1233
Q115177238	ElectFontes	Q115177238-f2cca5b3-4313-9d4c-0f7f-edd963d38a46
Q115220916	juanciscomani	Q115220916-E3972328-23E8-4854-8A53-4D8B43482F8F
Q115474083	RichforGA	Q115474083-B0AAE528-55AD-4A92-99FF-D0542200C1FF
Q115496109	monicaforcongress	Q115496109-58F695A2-4646-4EA2-8E3A-4F4F7E8FB0BA
Q115806750	MikeCollinsGA10	Q115806750-03B35DF5-5D88-4B81-A292-0CCBA865E76D
Q1158992	CongressmanDan	Q1158992-EAAC419C-42CB-41AF-B982-EE686E7B9473
Q1163099	RepWebster	Q1163099-0CB95165-C59B-40B2-8677-C67AB039AFD5
Q116464	james.stavridis	Q116464-d0b60e07-4d17-6d95-9725-3a3668e13940
Q1164657	280757931935749	Q1164657-6A042E3A-06E3-4B44-A7C5-0FC4C1FD190A
Q1166592	darrellissa	Q1166592-DA271499-6D4B-4EC7-B577-BBE37C2FC520
Q11668	NikkiHaley	Q11668-2ef965bf-48ff-d731-a6cc-bfcfe274431b
Q11669	RepSanfordSC	Q11669-C26FE94F-A75B-4C4B-84E8-D06B2216ADF5
Q11671	david.m.beasley.14	Q11671-72927D06-4B87-4EFE-B988-A3F7A5DD447E
Q11673	GovernorAndrewCuomo	Q11673-4AA820A4-B02C-4822-871F-E536C264DDF9
Q11676	GovGeorgePataki	Q11676-BEB3DAB1-3DD7-451E-A9F5-4EA4ADB0A48B
Q116788149	ian.rowe.52	Q116788149-5289c11b-450e-5e05-5dd9-1991518d5ec9
Q1167934	326420614138023	Q1167934-51E8C379-E3A1-4F38-8015-5A468D8F39F4
Q116887290	jenniferblockauthor	Q116887290-926a8bd3-4e4c-25cf-f28d-c6dbee323786
Q11702	SpeakerJohnBoehner	Q11702-5B1D331C-9841-4C28-B79B-93D5295E3D38
Q1173662	david.barton.73550	Q1173662-b13bda0b-4a11-595f-eb8a-b28c5709aa6a
Q1174197	david.denby.58	Q1174197-B93AD450-1F52-459B-AF10-99BD586537C4
Q1174641	OfficialDavidKoch	Q1174641-f0c73e22-4d7e-b70b-05b1-ebd8a27331af
Q1174815	davidignatiusbooks	Q1174815-aef51e1a-4cf7-f6a2-8f08-682c951bb3ab
Q1175610	RepMcKinley	Q1175610-15BD7CD7-5FB9-4945-9C6C-471F3324B4A1
Q1176154	David-Plouffe-547571922064715	Q1176154-24217ce1-4139-d339-5d8f-e448d3ad92f6
Q1176215	davidquammenauthor	Q1176215-E7893DAD-4736-4E17-ACEC-94888DFB9C8C
Q1176561	repdavidschweikert	Q1176561-666FB605-C73D-4E19-80EB-26C12F9E3CD0
Q11860	SilvioBerlusconi	Q11860-114f45b9-4805-b597-364d-aedf33222f85
Q1188940	dennis.ross.376	Q1188940-A19D7A6E-4E4F-4478-9C35-BD6ABBDA21E4
Q118969	winona.laduke.5	Q118969-79c29417-4c32-0aa7-c64c-fdf9169e403d
Q11978977	jheilnyc	Q11978977-608C4045-E9F0-4F57-8FD8-85E9D608E585
Q11988406	MEHalperin	Q11988406-1e1f807b-4437-09d9-19e8-099ef6aa25b4
Q12003	cher	Q12003-CF42BB4B-D071-412D-AAAD-9B970B3C6B6F
Q12003032	mickcornett	Q12003032-41F0F624-7B70-4D67-8036-CDF2FBF7CFAE
Q120260	MartinOMalley	Q120260-AC0226E7-FC12-4175-93FE-FB37D66A4EFE
Q1210194	MayorByronBrown	Q1210194-98c6d60e-4e29-a59c-a94e-5616e3b7178d
Q121507	aliciakeys	Q121507-3EB1E381-8286-4747-9EA3-8244D83C6BF1
Q12214935	Zainab-Salbi-58665958526	Q12214935-81F47693-A33C-4A7C-B44A-AD1794075570
Q1225	brucespringsteen	Q1225-d276b796-4d70-ffdd-0db0-5d44a545381f
Q1226328	DSouzaDinesh	Q1226328-4965059a-4e25-187f-b487-21e6a9ba5df0
Q1231345	109613107281	Q1231345-675cf97c-47a5-8df3-2ad9-2d21f3bab71a
Q1231345	PresidentPaulKagame	Q1231345-1154ce34-47df-61e8-9939-c2bbb3c872e4
Q123458925	100051159172981	Q123458925-2f43df1f-4e91-5229-a2e6-d9c14e0e1afc
Q1235731	MulvaneySC5	Q1235731-469B81BB-6621-4EFF-A148-64B67C322814
Q1239590	RepDonYoung	Q1239590-69DC5221-A311-4ADE-9C8A-5E7B20CA0925
Q1240224	DonaldPayneJr	Q1240224-A721ABB4-CC75-400F-869F-F654C9419DBD
Q1242000	DonnyDeutschFanPage	Q1242000-D19B23F8-3B1A-4CEB-BBFA-73F8E30E484B
Q125121	arethafranklin	Q125121-2EBBA854-7339-4362-AE3E-0AF3CF128E7C
Q1251932	Dr.BillBennett	Q1251932-58F944D3-7A23-4C20-93E2-23473DB83498
Q1254	kofiannanofficial	Q1254-3b6c213c-44b4-dc74-c411-74254615fafb
Q1257218	Christopher.Ruddy.Newsmax	Q1257218-C38EA804-38C2-4E51-B4DC-841ED72F35E1
Q125731	Barak.Ehud	Q125731-be49cbfd-4bc7-7a9f-1db6-46cefd7dcff2
Q1269048	112251162121183	Q1269048-74427a88-4851-3562-bb28-fad61d65bb35
Q1270178	georgewill	Q1270178-FCF6E4F9-65E7-43C4-8E35-B8304A08C700
Q1270283	TheNormanLear	Q1270283-7e6683d6-48dd-f24b-72c9-ed7a531558e2
Q127330	Zappa	Q127330-1E0C2F2D-D8DF-4318-92EB-CF5A87D44783
Q1274616	Chris-Hedges-769516893072670	Q1274616-a07343ea-426e-5f11-d0c4-bf980247106d
Q127998	President.Mahmoud.Abbas	Q127998-ecdcba1a-4587-2d98-c756-5da0e6b9aa1e
Q1280288	JoeNBC	Q1280288-da0a5590-b368-4483-b05c-0a66f5c6442e
Q1282411	EdJMarkey	Q1282411-CA8E2812-FA59-455F-91DA-B9D8ED9FDE6D
Q1282477	EdRoyce	Q1282477-67314513-5FE8-43F5-8ACA-F255D1C19B12
Q1287635	neelkashkari	Q1287635-613541a5-4be0-5891-16e0-8d7e73e1ff4e
Q128799	RickyMartinOfficialPage	Q128799-D3D43368-A936-42D7-B328-09770024A4B2
Q1289889	jameseclyburn	Q1289889-336C6092-18A5-472B-9257-9F2D6CF8EABE
Q12927	MarineLePen	Q12927-7F7E4BEF-7A6C-4FE0-9833-EC4E0E62868A
Q129436	ejdionne	Q129436-cb89a3d0-491f-bfcb-5a15-1b5624d21bd4
Q129478	davidcorndc	Q129478-f0830ac3-4ace-a0ad-3e9c-0adfdda8b670
Q12978	GuyVerhofstadt	Q12978-B6217EE2-2926-4BD8-A104-29ACF521D752
Q12983	hermanvanrompuy	Q12983-4EF28461-03FA-40FF-BF20-387C634D5B24
Q130024	isakson	Q130024-B4B3FDFA-E266-45BB-BAA3-0D2143A3A339
Q131112	PaulKrugmanNYT	Q131112-2c2bdcf3-446b-7d65-b4bf-f06d90e433cb
Q131324	JanetJackson	Q131324-0B41A325-F6B8-486B-9071-484C083E80D1
Q13133	michelleobama	Q13133-62F56BB7-7AAF-4D17-9C6F-8C99DDBCCF9F
Q132071	113303673339	Q132071-1A53DDB1-AF97-48B3-A6BD-EF3273E70E94
Q13225564	MayorGregFischer	Q13225564-5B19602E-CB5C-43E6-9BEF-A06EC542BEF6
Q1323196	RepMikeThompson	Q1323196-E1A28BDD-23BE-42AF-8E76-23D24657FFAA
Q132345	abeshinzo	Q132345-f7caf460-482f-f4e2-0a66-d85350ea22b4
Q1324820	Elaine4NC	Q1324820-22331b6c-4044-6738-b8af-91ee5bdcde23
Q1329618	RepEliotLEngel	Q1329618-B9A84DB4-FB2E-4857-BEB9-B28C02DCBD19
Q133040	AlbertoFujimoriF	Q133040-0c028b49-4858-648a-f654-50eee1d9e8be
Q133050	SusanSarandon	Q133050-c3d93bd2-415d-8fd0-f76b-b49ac6ec953e
Q133308	Elbarad3i	Q133308-DDE563AB-F8CF-42EB-9036-928B7F74C554
Q1334654	emanuelcleaverii	Q1334654-B6188DE7-B37C-46F5-9BF3-9F541C6FA071
Q1336253	phil.donahue.33	Q1336253-c72bd5c9-4b31-724f-fb23-ce71f4d470a1
Q133653	laralogan	Q133653-946E2680-755D-4D30-934D-0EAF8F9C7D4E
Q1337459	RepJimMcGovern	Q1337459-0A40439A-5536-4EC6-A7A4-C5283C4CBD66
Q1340268	repgaramendi	Q1340268-A1DFF054-46ED-4DDA-B931-73A67229D7D6
Q134035	RepRodneyDavis	Q134035-9C430979-B4AA-4459-A8FA-03832EBF1090
Q1344200	usrepmikedoyle	Q1344200-E4BD10E5-F6B4-4E30-BBA8-DBB789C694D9
Q1344707	JohnBoozman	Q1344707-0C1AB09F-FEC7-40B2-9419-36BE6BD69749
Q1344743	jerrymcnerney	Q1344743-2282D2B6-2B0F-4FED-A98E-75D434DD5B61
Q13475242	joniforiowa	Q13475242-29B90B84-920A-43C8-941A-87B28F3E2A7D
Q13475242	senjoniernst	Q13475242-140C6C9B-50CE-47FF-BC17-BC7A874D3059
Q1352872	rfkjr	Q1352872-115da941-4ed6-8efc-6f9d-2870a7d8924b
Q13534694	erickfanning	Q13534694-87883deb-439b-8495-0b74-2375effd0584
Q13560902	KimberlyGuilfoyle	Q13560902-B8A9FAD8-9B79-4AD3-8A20-BDAE69BA36E0
Q13562293	TokudaForHawaii	Q13562293-6bf9c1dc-41ec-c394-3b5c-3a419c366da4
Q13562359	RepAyannaPressley	Q13562359-ADF899C6-2766-4C0C-9EEF-BE8CEC14A367
Q13562406	jenniferhorn2077	Q13562406-B1B1AEC0-CCFF-4220-B128-89F2FBF37EEC
Q13562456	NinaTurner.OH	Q13562456-e14eed43-4312-2bb6-0e8d-e36a9ac3305a
Q13562489	SylviaRGarcia	Q13562489-67b3e2a3-4e9c-5f48-40bc-428f72f402b3
Q1357640	ReincePriebus	Q1357640-62fc311e-4c06-0a46-0a38-5322e590a5fb
Q1363468	MikeDeWine	Q1363468-A752446C-D97A-483E-BBDB-308CD924165D
Q1364820	JohnCoxforGovernor	Q1364820-db5ce36a-4e87-2d56-4aa5-a8ea12b9ef92
Q1365787	jerrymoran	Q1365787-46FE1AA7-EE83-4437-B8B1-0A4177AD3EF3
Q1368405	jeffmerkley	Q1368405-1309804A-23F9-4B42-90C9-C37A93FE63DB
Q1368995	GeraldoRivera	Q1368995-2006db31-4662-44d6-7730-8508c6d6629b
Q1370968	CongressmanConyers	Q1370968-437AB21D-DD85-46B9-A9B5-AC871EB28F40
Q1373548	paul.tonko	Q1373548-D51BD308-0A0F-46E6-8D2B-63830FC20A81
