?qid	?target_col	?target_col_guid
Q105044605	esquire	Q105044605-3458ea69-4350-d800-a309-6902d5da0e7e
Q105750350	Jr.	Q105750350-9c29d244-427d-9e7b-f103-89223a9f93ad
Q1064593	III	Q1064593-2CE60135-D12D-48E4-BC78-D10F924F8A0E
Q1077819	Jr.	Q1077819-8c6da59b-4f5d-df72-1d58-2487e4b6d0de
Q1089112	III	Q1089112-CBAEFDF9-F86A-45CA-A453-9A57B6EEB88E
Q1096809	Jr.	Q1096809-8C897E49-880D-4AE7-B090-33378F699FDD
Q1100647	Jr.	Q1100647-C12DD92F-7515-4F4C-A349-06270BF1D737
Q1101388	Jr.	Q1101388-0DA8C090-3F34-4BF2-86EB-F685D359BAA4
Q111240	Jr.	Q111240-f3acf583-4eaa-56e5-610c-3605cbed228e
Q111768124	Jr.	Q111768124-74fa4537-4294-9764-49da-304f4d594155
Q112284	Jr.	Q112284-d9aeba94-4505-0873-bea4-0a47860f49d6
Q115220916	III	Q115220916-189ee6dd-4cfc-6f6a-6e61-66e6e36ae940
Q11607	Jr.	Q11607-C110963C-42EF-45EE-8E93-FD482F06F7C4
Q11672	Jr.	Q11672-39A50559-F27D-490A-ADC6-8E260C1095FD
Q1170156	III	Q1170156-78fe294c-47bf-a001-28f0-c993ed88bdd4
Q12056013	Sr.	Q12056013-b3022cb7-4c6f-8db3-2228-582cbec10db0
Q12058415	Jr.	Q12058415-95C1BE60-ED7E-46FB-9426-8C0A66637AA0
Q122841	III	Q122841-89F40118-7164-44FF-ABA6-84C5EAEFD414
Q1239044	Jr.	Q1239044-d38ecd2d-49d0-21b0-8551-fe42ceeb9269
Q1240224	Jr.	Q1240224-30AEA0F7-FF03-40FA-8EF3-F155F20346FF
Q1240436	Jr.	Q1240436-ADE443D5-DB8C-4411-A5C4-68555A9C71AC
Q1240457	Jr.	Q1240457-42B66BAE-CF96-4034-A9F9-C88ABAB3B72D
Q1251700	Jr.	Q1251700-E3B53BCA-1FB4-45C8-A6A0-BE8154764B1A
Q1254163	Jr.	Q1254163-33AD7656-6234-4AD3-984E-4D2CFF4D6E8E
Q1258757	III	Q1258757-C9163E75-4C23-49D3-ABC8-E5D1600CDE98
Q1273477	Jr.	Q1273477-14BF3A5E-75F0-46FF-9367-6D09D37D3201
Q1287886	III	Q1287886-7e82588a-489f-ba33-dbc4-ce7a0eb05cca
Q1289901	Jr.	Q1289901-5363AAFB-B722-46E6-81CE-EB1DFA6CBCAB
Q1294060	Jr.	Q1294060-D7B21997-D016-47B1-8DFD-0CDE65382D61
Q129436	Jr.	Q129436-3cd2ab57-47f7-194c-9f25-10440c6caaef
Q1350771	III	Q1350771-E4AB1E96-12EC-4CF6-93C6-7E68928EF8EC
Q1352872	Jr.	Q1352872-117D58C9-7DA2-4787-98ED-372B8F31DD5B
Q1386420	II	Q1386420-686cbcc2-42dc-ca08-d178-83b9e9c09186
Q1406519	Jr.	Q1406519-733D9174-61D2-4B3C-AF7B-2EA20B26D1E1
Q1423649	Jr.	Q1423649-8FBC6092-4148-4902-8E9C-7B4436B5E682
Q1441708	Jr.	Q1441708-28E30CF1-BD08-4A98-B857-5446648B5F74
Q149451	Jr.	Q149451-48A8E76A-F747-4D88-969C-6873105FB7DA
Q1508429	Jr.	Q1508429-A363E3D8-6A90-4F52-9BAD-C9EE98C1FD42
Q15504136	IV	Q15504136-34112af5-4347-b83d-4990-079309caac61
Q15512910	III	Q15512910-35cf1678-4cfb-f688-3acf-2f9b4fceed4b
Q1567156	Sr.	Q1567156-EAD5ED4B-E661-4CEE-A79B-D52885426704
Q1585518	Jr.	Q1585518-F0D946FE-D611-427E-AA56-8284E0EE9B47
Q1585826	Sr.	Q1585826-C9FE5A99-67F0-4A63-B157-463401BDD808
Q16019829	Jr.	Q16019829-B90A833F-1540-4F1F-8584-CE53FFC73E92
Q16105511	Jr.	Q16105511-10605123-9B2E-462B-8643-37AC41EFAFA5
Q16213961	Jr.	Q16213961-EDB2C4F9-C02C-4376-8530-D49542921E65
Q163957	IV	Q163957-1ebc2182-432e-ae4a-5199-459023ae974e
Q164014	Jr.	Q164014-1b3b50e3-4d0c-485c-31cc-7bb0fd98bbd2
Q16499816	Jr.	Q16499816-9DAD53DF-76E0-46C3-8236-B15BFFD24F38
Q16731303	Jr.	Q16731303-35740db6-422a-b325-fa46-f683d2c11e56
Q167607	Jr.	Q167607-CEB5B043-B50D-4368-A34E-86A8327D8E61
Q1679985	Jr.	Q1679985-B3B049EB-A869-4A0A-8F26-B83990CD35D5
Q1680114	III	Q1680114-9CC56783-1DC0-403B-9CF9-94683BBA2FE8
Q1680479	IV	Q1680479-d2e04484-401e-1efc-5658-74e904a40492
Q16875169	Jr.	Q16875169-8FE64033-4172-48A0-A04A-678FC8BE36AC
Q16885632	III	Q16885632-AD7AADF9-6258-4F4C-9171-E33ECC2FEA2D
Q1699254	III	Q1699254-C669DA2D-78F9-4794-9838-64DE3549421A
Q170572	III	Q170572-7103acf8-47a7-4c33-fa45-290a555d183c
Q1706385	Jr.	Q1706385-F9BA1297-7AFF-44CF-AA83-36B96D253947
Q1707784	III	Q1707784-A8DB2A12-820F-4F99-993D-92A522CDF642
Q1708133	Jr.	Q1708133-F3DC3BBC-90FC-4184-8F5D-8444882F27E2
Q1738577	Jr.	Q1738577-48193C06-61AE-49E1-9401-CA593FFEBA3F
Q17489717	III	Q17489717-64189410-556A-4645-A2DB-FCB663AF9378
Q174979	Jr.	Q174979-01dbe473-4769-a1e3-b12e-b822b34e8aa3
Q1767846	Jr.	Q1767846-3F9D4CA4-8372-403E-AED8-2E28176A2421
Q179095	III	Q179095-BBB169C3-4FE9-40AC-9C58-B432F9F999FE
Q1808424	Jr.	Q1808424-D2B980B1-A609-4498-BB39-7A7A6AC6CC8D
Q18153986	III	Q18153986-3D37ECEE-92B8-4D6D-A2D4-74DACAF95259
Q1822094	Jr.	Q1822094-BFE8E8C6-99A5-4063-ACF2-A900001BF204
Q182642	Jr.	Q182642-169233f5-4d71-7bec-709d-75bb8dd17423
Q18762	II	Q18762-608d958e-4a35-208b-0bc6-f5242ccc7c66
Q1886607	III	Q1886607-5F675A98-E1D9-4612-BB9A-2297BB1FBFBA
Q1886985	Jr.	Q1886985-C9945975-409A-474D-A4FD-72323C097829
Q1900245	Jr.	Q1900245-35b971a4-4589-5f0b-9c8c-6f66141215ed
Q193368	III	Q193368-8717ed9d-484f-ae41-c409-4ea7ba0f4006
Q1973878	Jr.	Q1973878-04f37ad0-47cf-1f03-62fc-b02eb742fd57
Q19876087	II	Q19876087-4b0cf03c-4162-5534-f8d4-b096f8d46b5f
Q205353	Jr.	Q205353-36F4BD6A-F1CA-4400-9885-6A4E1BD12765
Q20657709	Jr.	Q20657709-14E864FF-AFB4-4886-AABB-79F2A7AA5FF6
Q21064222	IV	Q21064222-37ef02b2-4ccf-1ac9-997c-090552f53eb1
Q213076	Jr.	Q213076-3b294818-4d72-7bd2-7106-8f7a330d148b
Q214959	Jr.	Q214959-732D65B8-9FF1-4330-A1DF-072A874D5429
Q2252	Jr.	Q2252-6360b65e-447f-0abe-8de0-89d1e28e4a18
Q2272788	Jr.	Q2272788-ad79fe08-4b99-8075-be6c-25ee6f73269d
Q23302770	Sr.	Q23302770-6E48462B-2A1F-4278-B009-75E488EB14DA
Q23771533	Jr.	Q23771533-7480DAFC-2BAE-40C9-BBA0-E9FA9AF487B1
Q2422171	Jr.	Q2422171-B3CB0847-16AA-4C94-B467-630EB4364FF5
Q2424940	Jr.	Q2424940-7EECB15A-2849-45BC-A79F-F5DFA4C30E2C
Q2516950	III	Q2516950-BF1C506F-F597-413D-A674-E7F1670C4A07
Q252739	Jr.	Q252739-6EAB73E7-4A9F-47DB-9F67-8C6AA43B1D0C
Q2544051	III	Q2544051-43F2A87C-EC2B-4499-B155-C88ED191663B
Q2544053	III	Q2544053-7DCF1238-6539-49A3-8D39-38F06A6DC16D
Q2579080	III	Q2579080-2280169B-86D8-4630-B608-58DAEC218E17
Q25851041	III	Q25851041-A79BD617-F09B-403C-B1E2-FB55905A72AC
Q265293	Jr.	Q265293-F79FDB74-61FC-48CB-BEA8-6ED11A26A9C6
Q27804536	III	Q27804536-0b82f740-4ecc-d5b5-cfe6-fa2db99b2bd0
Q279205	Sr.	Q279205-EA04CCFD-29ED-4E34-B779-DDD458637BB3
Q2831921	Jr.	Q2831921-46703AD9-5154-4537-9F04-CF38ABE3FD7F
Q2840194	Jr.	Q2840194-C57FB3A4-175D-41A3-9929-1EC6C8863E89
Q2865275	Jr.	Q2865275-016632EE-F509-43ED-A3FC-DB1857D7BEBE
Q2895181	Jr.	Q2895181-7427FB56-6AB0-4A17-A9A1-BE9941AE6C22
Q29604456	Jr.	Q29604456-3E186B1B-958C-4535-8713-B666E1B1E90D
Q3009497	Jr.	Q3009497-36958D95-D5B8-4466-AFD0-E39D8990D866
Q3035929	Jr.	Q3035929-CFB0179E-B17C-4F33-B23C-9C81DA646092
Q3048622	Jr.	Q3048622-FE6A2CCC-2D99-443A-A646-FAD24709BA26
Q310188	Jr.	Q310188-6B9CD092-566A-410C-9809-490DA6D7E830
Q313776	Jr.	Q313776-0C737271-9E47-441A-9AA8-A035FD62102A
Q314459	Jr.	Q314459-63d9166e-43dc-38f0-896f-d0d95c2c3727
