?qid	?target_col	?target_col_guid
Q1000053	<http://www.wikidata.org/entity/Q6581097>	Q1000053-07D88C7A-99AB-4AD2-86F6-CB6C8468E57C
Q100269485	<http://www.wikidata.org/entity/Q6581072>	Q100269485-E000E7F1-1BBE-4841-8B57-A933FC5F4309
Q100276775	<http://www.wikidata.org/entity/Q6581072>	Q100276775-82b2d60e-43f1-c34a-c45f-fd66f3b26899
Q100308956	<http://www.wikidata.org/entity/Q6581097>	Q100308956-aaa3cbc3-40b5-9ec7-a539-a013dc95ff91
Q100348099	<http://www.wikidata.org/entity/Q6581097>	Q100348099-5109563f-489c-44a3-200b-e655bc5227a5
Q100375929	<http://www.wikidata.org/entity/Q6581072>	Q100375929-6be6bfb1-e5bb-48cc-a837-fbe04404c9d1
Q100417135	<http://www.wikidata.org/entity/Q6581097>	Q100417135-dfa1d091-4262-af00-8a06-1694c237e8de
Q100526292	<http://www.wikidata.org/entity/Q6581072>	Q100526292-0a4ffb9a-458b-cb41-99c6-90108cd0d094
Q100605223	<http://www.wikidata.org/entity/Q6581097>	Q100605223-3ae3be37-415c-0e48-8c22-345890d68503
Q100630389	<http://www.wikidata.org/entity/Q6581097>	Q100630389-8dbc22fe-4678-70b7-dce3-908f4db086db
Q100706901	<http://www.wikidata.org/entity/Q6581097>	Q100706901-c500ae2b-fdb9-4383-8adf-102d8b565eff
Q100761425	<http://www.wikidata.org/entity/Q6581072>	Q100761425-9ACA26DA-B6B8-4F07-9BF3-EF7AF6666669
Q100879343	<http://www.wikidata.org/entity/Q6581072>	Q100879343-e55764d6-449d-d989-c992-94d27131db98
Q100963892	<http://www.wikidata.org/entity/Q6581097>	Q100963892-1db5c8e2-f347-4939-a2b1-d74be21a4227
Q100987749	<http://www.wikidata.org/entity/Q6581097>	Q100987749-fb63f838-4b9e-0b8f-5703-a60006a4a022
Q101008686	<http://www.wikidata.org/entity/Q6581072>	Q101008686-e48bce2f-4eff-ba4a-d038-8b16d08362c1
Q101021225	<http://www.wikidata.org/entity/Q6581072>	Q101021225-26912467-4f2f-2d37-3c6d-d0871666d3c9
Q101097022	<http://www.wikidata.org/entity/Q6581097>	Q101097022-228db718-4d53-eada-84e9-0a9f28077615
Q101111778	<http://www.wikidata.org/entity/Q6581097>	Q101111778-2fed45ed-4543-b527-9f02-95f60342bb6b
Q101136890	<http://www.wikidata.org/entity/Q6581072>	Q101136890-c9b97db3-73ae-4a3d-bcac-f4a69e06a383
Q101181655	<http://www.wikidata.org/entity/Q6581097>	Q101181655-f74a7f5d-4b3a-2def-6bde-ac77550b1453
Q101196462	<http://www.wikidata.org/entity/Q6581097>	Q101196462-cca070e5-2a76-4780-a807-1f22a7facb3d
Q101196632	<http://www.wikidata.org/entity/Q6581097>	Q101196632-9a03d7f6-086a-4e06-87d6-61a5d58b0b7c
Q101196971	<http://www.wikidata.org/entity/Q6581097>	Q101196971-df2e7405-8aef-48f2-b8df-2676ff3a07fb
Q101197341	<http://www.wikidata.org/entity/Q6581072>	Q101197341-ab5914b3-449d-4ebb-b8c9-3182921892bb
Q101198561	<http://www.wikidata.org/entity/Q6581097>	Q101198561-a6f7a5c7-c399-4ebe-839b-c836abe40988
Q101204553	<http://www.wikidata.org/entity/Q6581072>	Q101204553-02701b64-389b-45e6-ac81-183570137310
Q101207829	<http://www.wikidata.org/entity/Q6581097>	Q101207829-14393b3c-4d4d-cb6f-3089-8146516b9b5d
Q101251378	<http://www.wikidata.org/entity/Q6581072>	Q101251378-147c256a-4be8-d01b-cc4b-f24013329443
Q101252098	<http://www.wikidata.org/entity/Q6581097>	Q101252098-ba01fc83-42d0-35d2-e3af-784691e66a3a
Q101410	<http://www.wikidata.org/entity/Q6581097>	Q101410-99366175-7A62-441E-A3FF-893EF3CB0983
Q101423008	<http://www.wikidata.org/entity/Q6581072>	Q101423008-1956b731-5192-4924-932b-b2d15e38d5a0
Q101423348	<http://www.wikidata.org/entity/Q6581097>	Q101423348-257435e5-4104-8721-5c38-019d236505f8
Q101428652	<http://www.wikidata.org/entity/Q6581072>	Q101428652-9ff15f9f-e729-4b88-a206-21cd42fda813
Q101486630	<http://www.wikidata.org/entity/Q6581097>	Q101486630-d16dedf3-4659-98f5-0040-236925d81ab6
Q101535270	<http://www.wikidata.org/entity/Q6581097>	Q101535270-084E3A9A-01D2-4374-9E9D-9ABA954F1A4A
Q101547	<http://www.wikidata.org/entity/Q6581097>	Q101547-B867D48C-8AB6-452A-99CA-213A1B06D614
Q101704387	<http://www.wikidata.org/entity/Q6581097>	Q101704387-f307109c-4664-ca1b-67d9-c14f43e32f8a
Q101713828	<http://www.wikidata.org/entity/Q6581072>	Q101713828-668be292-170e-4680-8637-00a04ce62315
Q1018322	<http://www.wikidata.org/entity/Q6581097>	q1018322-0D04FAC4-1EB2-4A45-B132-887DE948F3C7
Q101994408	<http://www.wikidata.org/entity/Q6581072>	Q101994408-C96A879C-7454-433B-A780-66B9B95F2832
Q102036550	<http://www.wikidata.org/entity/Q6581072>	Q102036550-ca145276-4363-b990-4fac-28b095f36c1d
Q102047555	<http://www.wikidata.org/entity/Q6581097>	Q102047555-33ea8755-4b7a-03b2-c485-8b52fafc5672
Q102124	<http://www.wikidata.org/entity/Q6581072>	Q102124-ADC44EC8-6E0A-44F7-9F76-4243A8C56C4A
Q102131357	<http://www.wikidata.org/entity/Q6581072>	Q102131357-e7554323-20e8-4f16-ac99-6cf610ba9d60
Q102158445	<http://www.wikidata.org/entity/Q6581097>	Q102158445-3a58ccce-620e-4a3c-944c-dbbc9356ae79
Q102163967	<http://www.wikidata.org/entity/Q6581097>	Q102163967-df7d1aa1-408f-7760-9cbd-f3e0081317de
Q102164874	<http://www.wikidata.org/entity/Q6581097>	Q102164874-1984d0d1-8f2e-4a12-9c8f-205a5538a1ab
Q102184540	<http://www.wikidata.org/entity/Q6581072>	Q102184540-403bb525-4a3b-8b9c-a681-024df20d7207
Q102226702	<http://www.wikidata.org/entity/Q6581072>	Q102226702-75e7151f-df72-49df-a2de-ab2cfe91b972
Q102251251	<http://www.wikidata.org/entity/Q6581097>	Q102251251-91B7B3A1-C7A9-442D-893E-DF512792764A
Q102276493	<http://www.wikidata.org/entity/Q6581072>	Q102276493-B4497BE4-317F-4896-9245-FB435137CA8F
Q102277679	<http://www.wikidata.org/entity/Q6581097>	Q102277679-d972f4f2-4094-d6e3-40f7-eb02ace60719
Q102277702	<http://www.wikidata.org/entity/Q6581097>	Q102277702-7e5c6b08-4c1b-220b-9cb7-e58b7615377d
Q102291036	<http://www.wikidata.org/entity/Q6581097>	Q102291036-6955747D-B12E-4809-A747-071545BA20B2
Q102435716	<http://www.wikidata.org/entity/Q6581072>	Q102435716-9c1c9371-407f-f601-d718-2a52605843c3
Q102454	<http://www.wikidata.org/entity/Q6581097>	q102454-EFEC332C-A46E-419B-BE78-8765CD9E4D83
Q1026119	<http://www.wikidata.org/entity/Q6581097>	q1026119-8A2DD704-5CF0-46D7-9A92-8102C2F0502B
Q102633602	<http://www.wikidata.org/entity/Q6581097>	Q102633602-b3277480-4970-c8db-8d0d-3781abc6a420
Q1026532	<http://www.wikidata.org/entity/Q6581097>	q1026532-36273296-3909-4ED3-917C-97C65F13CB07
Q1027026	<http://www.wikidata.org/entity/Q6581097>	q1027026-CC7DAE10-4CF2-4FD9-851F-EE39C65F1EF4
Q1027431	<http://www.wikidata.org/entity/Q6581097>	q1027431-7EEF37AE-F56D-421D-B674-D53866EB866D
Q1027684	<http://www.wikidata.org/entity/Q6581097>	q1027684-3AFF039B-8072-49D1-B933-A5F443E486D6
Q102916453	<http://www.wikidata.org/entity/Q6581097>	Q102916453-3912087d-407d-d4a9-761a-cdaae6897068
Q1029527	<http://www.wikidata.org/entity/Q6581097>	q1029527-032D9E54-138C-4EAB-A35F-A9E3A338D0DF
Q10296812	<http://www.wikidata.org/entity/Q6581097>	Q10296812-11c5b82f-4a55-62fb-7d72-96bbfc3b1201
Q102973819	<http://www.wikidata.org/entity/Q6581097>	Q102973819-5f7e2ca3-4316-122b-d8ca-6850c81fbfcd
Q1030299	<http://www.wikidata.org/entity/Q6581097>	q1030299-A1CBEF91-DFDE-441B-92A5-8D83F69FD62C
Q10307858	<http://www.wikidata.org/entity/Q6581097>	Q10307858-FA1E15C8-A37E-4280-8093-79C2C43B9C7D
Q10321395	<http://www.wikidata.org/entity/Q6581097>	Q10321395-2DC82CE5-32EF-44AA-953F-F236081D07D8
Q10327963	<http://www.wikidata.org/entity/Q6581097>	Q10327963-9CFD3866-C005-4B2A-B89D-51CEEFAB898E
Q1032918	<http://www.wikidata.org/entity/Q12964198>	Q1032918-280dfe91-42d1-021d-f109-61af8101ac5a
Q10329470	<http://www.wikidata.org/entity/Q6581097>	q10329470-9B8F376F-1674-468E-856A-5827AABFFBA2
Q1033016	<http://www.wikidata.org/entity/Q6581072>	q1033016-CF281824-FD3F-4C6C-AF0A-DB002391356E
Q103646	<http://www.wikidata.org/entity/Q6581097>	Q103646-734906EA-2AEB-451C-8127-A4F85B1F0303
Q1037241	<http://www.wikidata.org/entity/Q6581097>	q1037241-8F3142CD-4E2D-4CE1-BD3B-CF3C97246467
Q10374168	<http://www.wikidata.org/entity/Q6581097>	Q10374168-BE379C5B-4ECE-41DD-B92E-3396BEE68604
Q1037428	<http://www.wikidata.org/entity/Q6581097>	q1037428-EB67FA8B-1F38-4A1E-BD38-795FFEDA6D27
Q103782254	<http://www.wikidata.org/entity/Q6581072>	Q103782254-a298a8e5-42e1-14c1-2313-3b9121621d0f
Q103801729	<http://www.wikidata.org/entity/Q6581072>	Q103801729-e01e4818-4e8d-cb0c-70a9-948b334e96d0
Q103850475	<http://www.wikidata.org/entity/Q6581097>	Q103850475-43b3999e-28f7-46b6-9c24-91bf861a9b11
Q103852820	<http://www.wikidata.org/entity/Q6581072>	Q103852820-a73916f3-5397-4638-a33d-388defbf4c71
Q10390	<http://www.wikidata.org/entity/Q6581097>	q10390-934551CC-9135-40AB-AFC6-2E72E798296D
Q10393899	<http://www.wikidata.org/entity/Q6581097>	Q10393899-00BD6D21-9189-4E63-B71C-4DFD773241DD
Q103941992	<http://www.wikidata.org/entity/Q6581097>	Q103941992-621bda22-4834-3790-21e0-864a8aab4320
Q104005858	<http://www.wikidata.org/entity/Q6581097>	Q104005858-d2198277-4cf7-48c8-b3ea-51a54a21f706
Q1040310	<http://www.wikidata.org/entity/Q6581097>	Q1040310-9B2A0CBD-D675-45A0-A1BC-35FC9D49A135
Q104049	<http://www.wikidata.org/entity/Q6581097>	Q104049-6869CAD6-7A52-4C3A-A559-BFA84BB0A34B
Q104056940	<http://www.wikidata.org/entity/Q6581072>	Q104056940-8ccdad36-4ae6-12d4-c7e3-5bc2494b29c6
Q104076331	<http://www.wikidata.org/entity/Q6581072>	Q104076331-77b5e602-4943-d705-2514-fca1425452ae
Q104099679	<http://www.wikidata.org/entity/Q6581072>	Q104099679-fdde60c5-41ef-6ed6-1b26-84847fd008d6
Q104125922	<http://www.wikidata.org/entity/Q6581072>	Q104125922-738ba099-4a96-c11e-55a5-a04fb8ec993d
Q104148369	<http://www.wikidata.org/entity/Q6581097>	Q104148369-c2e078ce-a56d-4c21-b77f-814646ac69f0
Q104176273	<http://www.wikidata.org/entity/Q6581097>	Q104176273-4f1c89d7-f39e-4f41-9383-ecfce0abef1e
Q104224210	<http://www.wikidata.org/entity/Q6581097>	Q104224210-b6a4c4f9-187e-498d-9a47-20546e293520
Q104224230	<http://www.wikidata.org/entity/Q6581097>	Q104224230-302dcd33-8851-4fd1-925b-62f724d68a5e
Q104236579	<http://www.wikidata.org/entity/Q6581097>	Q104236579-8e1308a8-4fbb-076b-6117-a32fd0a05226
Q104244043	<http://www.wikidata.org/entity/Q6581097>	Q104244043-ff8367f2-3de5-424f-9416-c3f996ddcd38
Q1043079	<http://www.wikidata.org/entity/Q6581097>	q1043079-46DDC5A3-CB17-4A50-8DA3-029401F0FA29
Q104338731	<http://www.wikidata.org/entity/Q6581097>	Q104338731-174d79fb-4941-09e9-f463-382c71dfcc26
Q104374037	<http://www.wikidata.org/entity/Q6581097>	Q104374037-230ffead-4dae-2cf3-52a6-b8794b3a6b97
Q104374144	<http://www.wikidata.org/entity/Q6581097>	Q104374144-22bc7a89-406a-e15a-0c71-8b64bc3d688f
Q104376116	<http://www.wikidata.org/entity/Q6581097>	Q104376116-a16f4ef0-413a-4d36-767c-608430fe4f16
Q1044155	<http://www.wikidata.org/entity/Q6581072>	Q1044155-03426A27-099C-480D-8CC7-AD3828F5B2E2
Q1044169	<http://www.wikidata.org/entity/Q6581072>	q1044169-75AE34E2-8C19-4F96-B881-64F7F13ACE51
Q104438585	<http://www.wikidata.org/entity/Q6581072>	Q104438585-f62eab3e-415b-2755-535c-76e5248b8d12
Q104450417	<http://www.wikidata.org/entity/Q6581072>	Q104450417-72CE927D-A651-43F7-BC7B-2F87B695AA6D
Q1045188	<http://www.wikidata.org/entity/Q6581097>	q1045188-3CDD005B-DDCB-47F3-8850-076789A030BB
Q104532425	<http://www.wikidata.org/entity/Q6581072>	Q104532425-15340A0A-A182-4AA1-BC8C-907E40D186C3
Q1045798	<http://www.wikidata.org/entity/Q6581097>	q1045798-0A22436A-F21F-4B52-9465-004E53F0BF78
Q104587353	<http://www.wikidata.org/entity/Q6581072>	Q104587353-829adb11-424d-cd27-dc59-08e28de15e01
Q104622	<http://www.wikidata.org/entity/Q6581072>	q104622-B701A4E8-4024-4632-AD65-CE25C182C486
Q104630020	<http://www.wikidata.org/entity/Q6581072>	Q104630020-0eb86722-4dc9-83d0-93dd-53386e73ce17
Q104630135	<http://www.wikidata.org/entity/Q6581097>	Q104630135-7b862644-4b97-79e1-df99-1a4f53e3b4a0
Q104630378	<http://www.wikidata.org/entity/Q6581072>	Q104630378-52ee529a-4caf-095d-f588-095e7bfd8d36
Q104630428	<http://www.wikidata.org/entity/Q6581097>	Q104630428-12218880-4be1-37eb-f1a2-27411f394ecf
Q104630462	<http://www.wikidata.org/entity/Q6581097>	Q104630462-8c5eb5c1-48ad-5ab9-15ee-e776ce01a9b5
Q104630503	<http://www.wikidata.org/entity/Q6581097>	Q104630503-3d457cba-4178-f26a-36aa-27c49b8cc6fa
Q104630697	<http://www.wikidata.org/entity/Q6581097>	Q104630697-3699c503-4c78-dcf0-764a-7d7616768f52
Q104640827	<http://www.wikidata.org/entity/Q6581072>	Q104640827-b5de3cee-4a35-d674-53eb-51977e20b652
Q104642325	<http://www.wikidata.org/entity/Q6581097>	Q104642325-763fb858-6f69-4482-8597-cd9a89e45dbe
Q104648170	<http://www.wikidata.org/entity/Q6581097>	Q104648170-a54c02cc-1965-4a09-a0f6-78483e68a9d3
Q104682052	<http://www.wikidata.org/entity/Q6581072>	Q104682052-22a46b1b-4448-9f7f-581c-ccc899084cac
Q104688048	<http://www.wikidata.org/entity/Q6581072>	Q104688048-82b091ac-a27b-4685-923a-f7ab4dda66bd
Q104690630	<http://www.wikidata.org/entity/Q6581072>	Q104690630-bbfa72ed-2b9e-4dc6-8bf2-c2299f7583d6
Q104704577	<http://www.wikidata.org/entity/Q6581097>	Q104704577-93f20f4f-a008-4c33-8b4a-5ad176161ca2
Q104704599	<http://www.wikidata.org/entity/Q6581072>	Q104704599-912a81ed-4196-f38e-eb10-611c87aa4c3c
Q104705928	<http://www.wikidata.org/entity/Q6581097>	Q104705928-AF70C4D3-B44C-4416-BBB8-3731E317D583
Q1047146	<http://www.wikidata.org/entity/Q6581097>	q1047146-C765B93B-6220-4380-94EC-6E8942BD0502
Q104717188	<http://www.wikidata.org/entity/Q6581072>	Q104717188-91b2a87e-413f-cc99-241d-c4e6adc12018
Q104718940	<http://www.wikidata.org/entity/Q6581097>	Q104718940-91ce7e15-4277-8263-1d5c-de456cda0f00
Q104720641	<http://www.wikidata.org/entity/Q6581097>	Q104720641-771d42ee-edfd-4ab1-8f0f-87d00c75f7ee
Q1047230	<http://www.wikidata.org/entity/Q6581097>	q1047230-8869D130-3445-4F55-ACB8-FE78FD007E37
