?qid	?target_col	?target_col_guid
Q1000053	1962-02-26T00:00:00Z	Q1000053-2D1A30D5-5BBA-4CF8-A4EA-EEE144A228F3
Q100269485	1938-01-01T00:00:00Z	Q100269485-3c571d24-43d4-4336-6a79-fad323262a13
Q100348099	1951-01-01T00:00:00Z	Q100348099-23171b70-4a35-f38e-26c2-70653075b5bb
Q100375929	1950-01-01T00:00:00Z	Q100375929-8d4a171b-6441-431d-8d49-16d9773cc8df
Q100417135	1986-06-18T00:00:00Z	Q100417135-38036126-43f6-6215-16cc-161d0386a752
Q100706901	1985-12-16T00:00:00Z	Q100706901-19b03db5-8e37-4937-82da-2835423a6af8
Q100761425	1933-06-02T00:00:00Z	Q100761425-E66CF6D0-5FB4-446D-B743-C98BD8E80B5D
Q100879343	1945-01-01T00:00:00Z	Q100879343-d755534d-498e-05f5-467b-f1b15ef48547
Q100963892	1966-12-09T00:00:00Z	Q100963892-f14b04cf-4256-4558-b278-1d1558b99be9
Q101008686	1978-01-01T00:00:00Z	Q101008686-d30044b6-4683-f68c-f0c1-2698b2061729
Q101021225	1989-03-10T00:00:00Z	Q101021225-74b01ce4-42d7-20ef-e4a0-2986649f0219
Q101111778	1937-01-01T00:00:00Z	Q101111778-6319df85-4778-f610-bb50-7c091d1441e4
Q101136890	1956-12-03T00:00:00Z	Q101136890-7c75b28c-c736-41b5-9fa5-a0dd27c3cb7e
Q101181655	1956-02-18T00:00:00Z	Q101181655-04155a04-49a6-3a55-b52d-61485db20d48
Q101196462	1978-12-28T00:00:00Z	Q101196462-46e60746-4582-8d45-af3f-6f7264ef390e
Q101196632	1988-01-29T00:00:00Z	Q101196632-50f93247-6197-45f3-87f5-2b42232999a0
Q101196971	1980-06-22T00:00:00Z	Q101196971-b2233dd7-458c-44c8-9dee-7c91b003cde0
Q101197341	1960-01-01T00:00:00Z	Q101197341-c42ac225-e47c-4fa2-8c30-d141a2da9568
Q101198561	1964-08-23T00:00:00Z	Q101198561-ea065a1b-4d34-f65c-1408-e8b6f83d64ef
Q101204553	1959-08-27T00:00:00Z	Q101204553-a18a72e6-8d22-4a74-a6ac-92430c6d7352
Q101207829	1953-01-01T00:00:00Z	Q101207829-ccccf233-4a63-f779-6512-feea4cdf03ee
Q101252098	1973-01-01T00:00:00Z	Q101252098-d6759d8c-49fa-0bff-5b81-9629c6914561
Q101410	1954-03-04T00:00:00Z	Q101410-E395CF26-4D38-4A2C-B81C-5FD7D4136AB9
Q101423348	1965-10-15T00:00:00Z	Q101423348-ff4561d6-4d95-320c-272b-5fa129880132
Q101428652	1981-03-29T00:00:00Z	Q101428652-18825f94-1823-4f22-b80e-3ba94dc84284
Q101486630	1971-07-29T00:00:00Z	Q101486630-47678cb7-4dba-c6c2-6355-44a89b323dc2
Q101535270	1942-03-22T00:00:00Z	Q101535270-E37B4346-4576-403D-9D15-825BE2E413C3
Q101547	1942-06-18T00:00:00Z	q101547-70538A5F-79DA-47F2-A33F-2FB721AF4596
Q101713828	1955-05-01T00:00:00Z	Q101713828-77b13411-43a1-e270-d2e2-9c1494bd6530
Q1018322	1931-02-11T00:00:00Z	q1018322-42BF0760-6567-42C0-A03C-1F9D4BF77908
Q102036550	1981-10-29T00:00:00Z	Q102036550-FF601362-809C-46B3-B649-1C451AB90650
Q102124	1949-10-08T00:00:00Z	q102124-E1151F85-0826-4F0F-956B-B5C82B8EC055
Q102184540	1962-01-01T00:00:00Z	Q102184540-4AADA7B8-3381-416E-9BDA-644B8679DA8C
Q102184540	1966-04-07T00:00:00Z	Q102184540-ff8aa6e5-41f3-a92b-eaa9-10f4b8999f10
Q102226702	1946-04-13T00:00:00Z	Q102226702-b3d92820-2b11-4faf-8516-d64e264cf5fa
Q102277679	1963-11-22T00:00:00Z	Q102277679-cb877028-47cb-6dee-5d71-5a6b7c4dc518
Q102277702	1958-06-17T00:00:00Z	Q102277702-1cdf4770-91f7-49c2-ad2d-c930c44a6582
Q102454	1915-01-01T00:00:00Z	Q102454-016C3CE0-EA4F-4B69-BC1B-41CE9900AFC4
Q102454	1915-05-15T00:00:00Z	q102454-EA57CE54-1474-4056-BE33-FB5EDC60746B
Q1026119	1954-01-11T00:00:00Z	q1026119-B8D41C2D-8845-4F7B-8493-BFDF96776C28
Q1026532	1955-08-02T00:00:00Z	Q1026532-5FBC367D-73DB-4E83-9CD3-A67BB5115702
Q1027026	1966-01-07T00:00:00Z	Q1027026-83D279E7-A969-4BD4-8AD4-628EFAEF68CC
Q1027431	1939-09-22T00:00:00Z	q1027431-73C29623-1645-4D0A-9BFF-C5530DD05B9D
Q1027684	1936-12-21T00:00:00Z	Q1027684-DB11D749-10CE-4A51-8EDB-7F43E06C7181
Q1029527	1957-02-18T00:00:00Z	Q1029527-E1460D99-E2F6-4859-BE60-44FAA59A07F4
Q10296812	1960-01-07T00:00:00Z	Q10296812-bf0d9fa6-4318-14cd-bed2-05b3861d4bbc
Q102973819	1985-09-03T00:00:00Z	Q102973819-f8b083e8-4e48-d165-f6b9-62ef9d6e9133
Q1030299	1909-01-01T00:00:00Z	Q1030299-A84B3CE5-A65F-4BB5-88F5-ED6FA6A07A16
Q1030299	1909-07-03T00:00:00Z	Q1030299-08240B00-B4C5-4FD6-926E-7D89C0188FB0
Q10307858	1941-01-01T00:00:00Z	Q10307858-16343974-2E0B-4160-8851-C98A41BB204B
Q10321395	1966-05-07T00:00:00Z	Q10321395-D9687B1F-122F-4AB7-8F47-BE3B961CB86F
Q10327963	1956-03-21T00:00:00Z	Q10327963-39E1C419-7EA6-4266-8B41-AF995FF39A10
Q1032918	1966-06-02T00:00:00Z	q1032918-F1F81409-BBAF-400E-AAD2-80A97F39B5C8
Q1033016	1966-08-14T00:00:00Z	q1033016-2E415FBE-19A5-4B5A-AD25-D32FF1E77F16
Q103646	1954-03-01T00:00:00Z	q103646-3D51ADA5-947F-4920-B165-A0CEBD1C4F3C
Q1037241	1954-08-06T00:00:00Z	Q1037241-2798B5C2-65E2-4B87-99FD-3CA368966767
Q10374168	1957-07-12T00:00:00Z	Q10374168-6DEB66FD-9EA4-414E-A756-EDC8F47536DE
Q1037428	1912-10-15T00:00:00Z	q1037428-63CED1D2-4557-4A9E-8E93-93940767FD87
