?qid	?target_col	?target_col_guid
Q113105	<http://around.com/feed>	Q113105-99b39cff-484d-1d4a-9367-9eaa2835ea79
Q180589	<https://www.gov.uk/search/news-and-communications.atom?people=boris-johnson>	Q180589-af85f511-43a9-a45a-609b-e97e6061f899
Q20090524	<http://gqf.zqf.mybluehost.me/patrissecullors.com/blog/feed/>	Q20090524-5e488e9c-4e40-5337-cf82-37a48a9b86e8
Q210059	<https://www.neilgaiman.com/feed_whatsnew.xml>	Q210059-FC78D971-66F0-4DCD-B7EC-FB3F12AA8791
Q223839	<http://feeds.feedburner.com/LarryFlynt>	Q223839-fa192365-4db1-643f-2a00-1cac01c7a8ef
Q47563	<http://www.matteorenzi.it/feed/>	Q47563-d2a0463d-4c0c-66ca-2072-71cde8d50774
Q6153507	<https://janetmock.com/feed>	Q6153507-e7b46ecc-4f2f-9a2d-0e48-9a6d6998f52d
Q64446821	<https://www.vox.com/authors/lauren-williams/rss>	Q64446821-86f43ee8-4b9b-8bcf-308d-ff00c6f8c102
Q714148	<https://danielyergin.com/feed/>	Q714148-06921e30-4258-752c-96bf-2be59f1925ee
Q927550	<http://www.malcolmturnbull.com.au/feed>	Q927550-8bf413d8-4bd5-8443-5adf-2a35b9c602b0
Q968193	<https://feeds.feedburner.com/gregpalast-articles>	Q968193-b8a4ff40-4df7-64ea-6d84-794221cbf1cd
