?qid	?target_col	?target_col_guid
Q101423348	"Chris"@en	Q101423348-469e8590-43dd-6d9e-e7ef-8c0ca2198e6d
Q10390	"John Wayne"@en	Q10390-ae84a370-491c-37d8-d4f9-a46a63bc9bb1
Q105480	"KK"@en	Q105480-db10e8a8-4f69-8672-8a7c-fe708f60ba03
Q1058	"NaMo"@en	Q1058-6db35125-43ab-145e-6d4b-88b9a1149aeb
Q105834537	"Al"@en	Q105834537-aad61bf1-4311-b3b9-9ae7-9756c8371cc1
Q106355213	"Ron"@en	Q106355213-b1883206-4d30-e539-723e-28b86ae80f34
Q1077819	"Chris"@en	Q1077819-b3987dd2-4084-19ab-90f0-935c77e141a0
Q111487034	"شيخ الجُغرافيين الفلسطينيين"@ar	Q111487034-8f7bcaa9-42a5-02a3-5d8d-3cb82b9ec2f5
Q11156	"Nino"@en	Q11156-005aa9d8-42c9-a49b-a417-1ea70cd5d277
Q1124	"Slick Willie"@en	Q1124-db78fa27-471a-8ed0-84d7-95a11515d427
Q11256	"El caballo"@es-419	Q11256-6a7df676-430c-09cd-78e1-d8b95f1d29dc
Q1137062	"Jack Ma"@en	Q1137062-714c22b5-450d-ad13-c20b-5a85faca9303
Q12058415	"Hal"@en	Q12058415-3c40266c-463d-0c76-df38-91cc91cc86e5
Q12072950	"Woody"@en	Q12072950-db485605-467a-b0e9-6e7f-87309ab9092c
Q125121	"Queen of soul"@en	Q125121-7ceace5a-4b55-917d-8159-d3e627033efa
Q1251932	"Bill"@en	Q1251932-31834150-46a3-a44b-f753-cfbd23228971
Q1270995	"Bob"@en-us	Q1270995-f32bb016-478d-daed-bb81-9a1fe5dc85f1
Q1276563	"Bill"@en	Q1276563-30baa1bd-46fd-a305-e941-a1ee9a1ccc14
Q12787055	"Mick"@en	Q12787055-32ccc977-4150-7745-4454-c04dc3a4d1fe
Q128553	"Kim"@en	Q128553-a0d6dd5d-49b2-4627-2229-8eb03638a55d
Q1286705	"Ed"@en	Q1286705-1dc8fd76-4b00-08ac-e905-e029875d2bb9
Q1316	"El carnicero de Bagdad"@es	Q1316-3c227c26-47b0-0dbc-f784-6fe4a7f741f9
Q131660	"Néron"@fr	Q131660-6c5d7bec-4e75-d5fd-344c-3d0c99f67329
Q1328142	"Stan the Man"@en	Q1328142-2aa115cd-458c-5d9e-6b25-f7f73bfa8f55
Q1357640	"Reince"@en	Q1357640-4d19527d-40d4-0d58-1573-fdc4388e4807
Q1378059	"Herblock"@mul	Q1378059-489f2011-4145-f418-0154-d7c92c626116
Q138048	"Ice Princess"@en	Q138048-2fee654b-4a7f-3908-21ca-a8ccbb93bd10
Q1387214	"Bear"@en	Q1387214-5716aea7-4f4e-f3fc-2d67-0c7d81ff25dc
Q1424689	"Rick"@en	Q1424689-5fed1010-4e91-248e-0182-f955396c8782
Q14342	"2MB"@en	Q14342-7218d104-499e-1ec1-94a6-46c9a4973dfe
Q14596232	"Moe Davis"@en	Q14596232-3cd4b3d2-4fd8-33ca-9ec0-e48348af5d75
Q14602241	"Chip"@en	Q14602241-f0724ee5-4e50-a8a5-e7fa-d1d36ed3461a
Q149127	"Pitchfork Pat"@en	Q149127-7615aa85-4686-ec68-e6e2-dc864d4ccfcc
