?qid	?target_col	?target_col_guid
Q101428652	"188486"	Q101428652-ADD7254B-2E90-48A8-8E32-2C17A4A0D223
Q102277702	"143749"	Q102277702-e2d74e8f-4d37-f1cf-3f8b-27c9b250ec8b
Q1027026	"47967"	Q1027026-B75BD35F-6278-4BBC-91BA-184FB1311FED
Q1029527	"71815"	Q1029527-48B66AD7-A2E9-4088-9705-F5750F6204C3
Q10321395	"152266"	Q10321395-E7EE0BE2-AFC9-455A-8C41-18CFD2B9DE6B
Q103850475	"190745"	Q103850475-c925b105-4313-8304-5792-764a252b8a9f
Q10390	"53270"	Q10390-013E3546-46DE-4DF2-A657-642264F00B7C
Q104148369	"161953"	Q104148369-2FD27F72-395E-4A1A-B14B-C301940889B4
Q1045798	"126202"	Q1045798-58FA73F0-71F4-48D1-92DA-3C5529094D2E
Q1059265	"21850"	Q1059265-81999770-8394-4468-86D9-F6C4F7FE3919
Q106089241	"195745"	Q106089241-c5b231ff-4f66-74c6-09c8-b1c6d122b194
Q1063677	"22216"	Q1063677-05299EA4-F3C8-4959-A67C-286C11B2CCB0
Q106399446	"189391"	Q106399446-38558b35-4d67-7d9c-40bf-3aea7bfca7ae
Q106522145	"206947"	Q106522145-7CB75C3C-B5D8-41F4-BC06-699AE73C25D6
Q107299118	"196198"	Q107299118-3ff38b09-4726-3b4a-fc50-6dc86f06de53
Q1074506	"122953"	Q1074506-0C6D7503-6A55-4B35-93C8-B7B48DDCA325
Q1077474	"110348"	Q1077474-05D7740F-4D76-4533-812F-5CFD77A2AC0E
Q1077594	"17189"	Q1077594-ECE223D8-F9D8-4338-BA1B-CCC8C3F4CA7E
Q1077819	"6098"	Q1077819-EDF32CE5-7157-4900-8443-7DCA594ADD5C
Q10853588	"120012"	Q10853588-1010EDE8-59E9-48B4-BCD0-F80D3EF0CDC7
Q110434665	"188147"	Q110434665-B11D4A30-6F53-457E-917E-5933F8FCCC81
Q110815967	"182961"	Q110815967-9D5B227D-30B3-4E3A-9C07-2ABDEC23F1EB
Q11112119	"135957"	Q11112119-C0945FE2-5F20-4F18-ACE2-EE1F7F5C569D
Q111159803	"38612"	Q111159803-75CBF62A-CF1E-4267-9A80-D97739AD3902
Q1112656	"51272"	Q1112656-A8B03DA6-9706-4008-B93B-D4BD1EEE925C
Q111623114	"48673"	Q111623114-8D72D36E-54E7-4E13-A056-BE0088ADE58A
Q111961602	"202091"	Q111961602-6da10eb4-431a-6717-0a44-bf393a1821f6
Q1135767	"76151"	Q1135767-0B4DFBEE-342E-4414-92FA-92F7C74083A0
Q1135774	"30004"	Q1135774-C7CFD296-CCB3-44E2-978A-8F414A7D2687
Q113587724	"209096"	Q113587724-077F3F81-C20A-4571-9CF7-9FCFDA2F1A3B
Q113588013	"208849"	Q113588013-FFE1DE8A-4C2E-40E8-AAE9-3374559A9B8E
Q115137377	"209085"	Q115137377-83F6B122-6ABB-4BF6-ABB3-56557D4A449F
Q115137719	"210545"	Q115137719-55C8712D-1AC4-41DD-B400-1FF49ABC456E
Q115170395	"191234"	Q115170395-3CA0FB3E-E6EA-421A-8329-3FBC35044640
Q115181700	"202954"	Q115181700-379F88A3-F8D4-43D4-81EC-0F8985949EA1
Q115220916	"106728"	Q115220916-7960F40B-F3FB-4283-A866-7CDC21E61DB1
Q115474083	"189765"	Q115474083-46A70B10-AB90-402F-84ED-A2053113C1B4
Q115496109	"188292"	Q115496109-106615D3-29DA-4774-8398-CCEC94A1DE92
Q115806750	"151225"	Q115806750-8CC280A8-B726-487E-85E8-97FF13540BB6
Q1158992	"123056"	Q1158992-7D9DC64D-0752-41F2-AC2C-981A3BA91711
Q1159112	"68959"	Q1159112-0987EAF8-99A6-4B32-AB21-0E03344EF3E0
Q11607	"50681"	Q11607-95AF3C57-4E64-457B-8592-0BFE06035C64
Q1161808	"35240"	Q1161808-FC4702FE-5D80-43DE-8852-AB6D99A0B556
Q1163099	"24302"	Q1163099-A0B00968-5C50-48D8-946B-E8DAC8D0C177
Q1164657	"233"	Q1164657-9EA82A60-FC02-4C83-A824-64478220E808
Q1166592	"16553"	Q1166592-2E27AE6A-59ED-445A-B690-5A9F473C5A5E
Q11668	"47879"	Q11668-d6a56855-4c56-20f8-962a-8f89c80e9ece
Q11669	"21991"	Q11669-D99237B1-CD01-4EE5-AE31-B634FCC200EB
Q1167934	"49227"	Q1167934-A584363E-D78A-4E90-A6BA-4FCD97F7065D
Q11702	"27015"	Q11702-914A1920-5FD2-45C0-9E8B-D5EE6397EDE3
Q1174126	"143373"	Q1174126-D5BAFF04-3D6F-49D4-8EDA-1E10335CC45C
Q1175610	"117396"	Q1175610-46E67B4D-43E6-4237-96D4-7450DDEECB6F
Q1176340	"31234"	Q1176340-2F37B01A-5971-45C1-97D9-7F185A530840
Q1176561	"106387"	Q1176561-6DDD3B68-6921-4EEE-B875-6C34CC25B01F
Q1188940	"12813"	Q1188940-C16AA9EA-B88A-44C5-9E54-EE5C31FB702C
Q1189686	"404"	Q1189686-70BC12AF-6819-4CAF-9459-6DDBB97ACAB1
Q1209858	"26960"	Q1209858-3CF19161-C6DA-4F9C-8071-A4C4022200DB
Q1210194	"55384"	Q1210194-298d194c-4234-3e49-6c83-deba87f83e4c
Q121746575	"212227"	Q121746575-77b2694d-4821-8f9a-56ec-ede74ba316ae
Q1234572	"27130"	Q1234572-42F479D4-6E76-444A-9897-54914058D667
Q1235731	"60348"	Q1235731-E2BD7BA8-0561-479B-9E81-E22620CA6DD5
Q1239044	"35272"	Q1239044-1F3E2F61-7A66-49E9-AAD4-02E6DA2B80F4
Q1239590	"26717"	Q1239590-721B6076-C02F-47C2-920A-75E22CC50596
Q1240103	"26957"	Q1240103-0F6A58C2-0D50-4F2C-958E-C47E42182ECE
Q1240121	"26843"	Q1240121-8C36ED1F-2DD4-47B8-A353-899E58963FE3
Q1240224	"90668"	Q1240224-FF23BB27-B7A1-474B-A43D-06DECD47BA73
Q124377768	"134881"	Q124377768-c32cf65c-4028-eb43-2940-8eaccd461214
Q124816461	"73558"	Q124816461-dfbd79e0-4112-39b1-31b3-b268aefcef11
Q1251831	"16472"	Q1251831-E5DAC77F-AA10-4C19-962C-07E664F44B8B
Q1277145	"27007"	Q1277145-B8ED5B9E-78E6-4BBA-9B88-A5272F27C5C9
Q1281084	"68184"	Q1281084-FA0D0E6A-333E-4EA8-B3C1-A0582FD9890B
Q1282411	"26900"	Q1282411-139D4188-51A3-402B-9E1B-3617D147992A
Q1282450	"26719"	Q1282450-90848983-35BF-4B59-9A45-12722DD11421
Q1282477	"26772"	Q1282477-52206448-BBA0-4A9D-B865-672AAD1DF6DE
Q1289889	"27066"	Q1289889-ED55ABB0-55CE-4956-8118-13385EDD60FD
Q1289901	"1003"	Q1289901-5ad88ada-45d7-59fb-12ca-9f5d09a794af
Q130024	"1721"	Q130024-8BD8C017-B970-4417-B11B-4999C29A3820
Q132071	"7826"	Q132071-A67A8738-3D4E-46EF-BCA7-71EAD58414F9
Q1323196	"3564"	Q1323196-8B71476A-BDB9-4518-B5D8-6921199BB544
Q1324820	"2167"	Q1324820-311994EF-EA03-4816-8F38-096A2A808CA0
Q1329618	"26972"	Q1329618-AED3E454-4A0C-490A-94D6-8421D3A69196
Q1334654	"39507"	Q1334654-A6E02C33-CAD6-4839-ADB6-6E40F51F1A07
Q1337459	"552"	Q1337459-11798AAE-7925-4A34-9955-5F891F0B95EF
Q1337736	"27118"	Q1337736-299FB9C3-5068-439A-8761-924064FDA51A
Q1340268	"29664"	Q1340268-63EF9245-F12C-4930-ABCF-427E04C2BF6E
Q134035	"9622"	Q134035-B4561DE0-2122-44E4-A829-BB4D0B8A17A4
Q13420124	"144672"	Q13420124-C2EC34F5-7316-4ACE-9F04-08568A7F9158
Q1344200	"21853"	Q1344200-D22A2434-38E7-42A9-A3DD-315676E3EDAC
Q1344707	"27958"	Q1344707-2ABC34C2-A4EE-4A5F-AF09-E586122FE9DB
Q1344743	"29474"	Q1344743-1D56561D-BAC1-4A36-BD69-97A45E8398AC
Q1344755	"27522"	Q1344755-31376FD7-932A-4879-8E92-31F32F882F85
Q13475242	"128583"	Q13475242-39A21851-EA90-4556-99C4-CAF9194E40A1
Q1352872	"211925"	Q1352872-2f6ea681-4ed6-49d2-fafd-08a4275d0388
Q13560775	"110467"	Q13560775-027072FA-8BE5-4149-A5C6-042C73D929BD
