?qid	?target_col	?target_col_guid
Q100276775	GreisaMartinez	Q100276775-17ec2221-4250-a788-4866-b3127392a3c6
Q100348099	danekkennedy	Q100348099-5d33047f-4b95-2c7c-5943-d7950777f98b
Q100417135	MattWalshBlog	Q100417135-ad4ca141-486b-7958-8cb9-8ba44313c9ee
Q100526292	drsimonegold	Q100526292-b8703c07-4fb3-8ac9-a8e0-cd76c9da05da
Q100605223	espinsegall	Q100605223-0dd25a56-4ffb-aa90-1766-3d42e3b7685a
Q100706901	jakesherman	Q100706901-EBF6CE90-BCA4-49BA-9D29-AFBA503511FF
Q100987749	matthewstoller	Q100987749-9337F0F6-6F47-4CB2-89D3-0ADD8E776A3B
Q101008686	RosinaLozano	Q101008686-3e791175-4813-4900-de19-f82e87a0d90d
Q101021225	wiczipedia	Q101021225-9a7901c9-4f34-5b0c-fcec-1b9c05397161
Q101097022	madrid_mike	Q101097022-60dc70c3-4c74-eea3-9de3-74632d21ce4d
Q101136890	KathyManningNC	Q101136890-67B1C3F2-1BDA-404F-8FE5-D636A7AA33A0
Q101196462	RepPfluger	Q101196462-FF6C10CB-C6AC-48C6-AFCE-DD3C5A2E6B86
Q101196632	RepAuchincloss	Q101196632-1706C243-7D01-4638-937C-97C8AF3C0D95
Q101196971	RepBlakeMoore	Q101196971-00F39AC1-F16C-4D5D-803D-A9C1418DF041
Q101204553	RepMaryMiller	Q101204553-A4A6F49D-6721-469E-9DF3-C32061F24D8A
Q101410	FrancoisFillon	Q101410-aa439124-487f-e0b5-ae94-0175775eb55c
Q101423008	drjuliemorita	Q101423008-c49a0871-4f89-846d-3022-42e342f6a0b2
Q101428652	JasmineForUS	Q101428652-d575e285-4cd2-2a7c-cb17-bbc8a0077ca4
Q101486630	Commish_Schmidt	Q101486630-48b3d852-47ab-877e-c87c-cee935982710
Q101713828	SidneyPowell1	Q101713828-8c6eef20-428e-dce0-b438-8daa128ba2f9
Q101994408	TexasTribAbby	Q101994408-57536707-4e2a-2e6b-d559-daafc8984074
Q102036550	KBeds	Q102036550-4c1e2f4e-43aa-deef-40a5-8b3ca3ac4df8
Q102036550	WHCommsDir	Q102036550-d443d38d-4e20-8a96-71e5-a2f79d3e2754
Q102131357	sharblock	Q102131357-49b8b221-4f17-4370-8429-2340f09d4e5e
Q102184540	lisaforcongress	Q102184540-51982C7B-D766-4F65-9163-7093649D5B78
Q102277679	Rep_Clyde	Q102277679-EBCCDCF3-8743-41F8-9D53-0188E1F1B436
Q102435716	RealDianeYap	Q102435716-3b958b34-4a08-fca2-d740-b2966ba33143
Q102633602	MidEast_Econer	Q102633602-8f4dacee-48ec-c4bd-1b9f-9e707c111299
Q1027026	RepJeffDuncan	Q1027026-2FEAA530-6196-44E0-B1A3-485378A74BF1
Q1029527	Rep_SteveWomack	Q1029527-DF41A202-82E2-4371-B4A1-10A3439B2025
Q1029527	rep_stevewomack	Q1029527-B2713A76-C2EB-46E5-A257-5F84E4933479
Q10296812	JZarif	Q10296812-54278BC9-5C7C-44C1-82A7-E4BE395A7566
Q102973819	ali	Q102973819-295cf66f-4a07-e401-b9d8-edc2d840d2e2
Q10307858	JohnBJudis	Q10307858-3E0AD15C-EBFE-4176-8B87-56C332FE8054
Q10321395	DelegateMark	Q10321395-44EE7635-918D-4D95-A866-47B06E69B0DC
Q1033016	halleberry	Q1033016-3bd37da2-4d76-d364-e667-832d9d5eed6a
Q103646	RealRonHoward	Q103646-BE4871AD-311C-4755-9070-FE353AA8EC9E
Q103646	realronhoward	Q103646-F9D7D654-B369-48E9-9841-0D2A9C2AFCC3
Q103801729	TiffanyDCross	Q103801729-25bda394-4d21-022b-4ecb-104c92f935d6
Q103850475	RepBobGood	Q103850475-AAF811E0-2F18-4B67-853B-FC78E638CD94
Q10390	SenJohnMcCain	Q10390-FEEA7170-51B0-4DAF-B20B-0A966EFFD69D
Q10390	SenJohnMccain	Q10390-36EBFEB6-AF20-414D-A665-1126A5381B97
Q103941992	benlabolt	Q103941992-a6b5387e-4a7f-2f91-d820-82b403b21869
Q104005858	bluestein	Q104005858-9b40f3c9-447b-67f2-e600-323637844773
Q104056940	khart	Q104056940-f3a29fb4-4f54-318a-0ac1-36e4886e01fd
Q104076331	AmbassadorTai	Q104076331-5c75bbd3-4a68-c92e-bec4-32bc3fa7e7be
Q104099679	JacquiPatt	Q104099679-50be20b7-467a-f51d-5e06-421a138f4e92
Q104224230	Michael_S_Regan	Q104224230-8e9706cb-4101-4473-a342-ac7a5b72a914
Q104244043	seccardona	Q104244043-d978dc95-4ac6-baed-b667-269f2c30ba08
Q104338731	reedgalen	Q104338731-9c88927e-4aed-06d5-c04e-bae65f3fb063
Q104374037	NYTBen	Q104374037-af8e3708-4c4d-4caf-54c8-73799407d53a
Q104374144	GregJaffe	Q104374144-9bcb17b5-453e-0fc8-8713-c6ebbec6e04b
Q104376116	AaronMehta	Q104376116-8ebe40f2-4561-1544-1d25-5df8e1b234b1
Q104450417	ProfMMurray	Q104450417-7b90d9f6-4062-77e5-7fbe-5e0572a11ab6
Q104587353	DepSecDef	Q104587353-d1f699cc-4289-7657-3f5c-e156750252b9
Q104587353	kath_hicks	Q104587353-92505e8c-4252-4a83-be22-1e9421f91142
Q104622	TawakkolKarman	Q104622-2A30A182-0FAD-43C9-90C1-FC53EE9748A5
Q104622	tawakkolkarman	Q104622-DFAC190A-93A2-492B-B570-C75B99BCFC87
Q104630020	gretabrawner	Q104630020-b977877c-4855-ca8e-809b-e9f49a78090b
Q104630135	PLEchevarria	Q104630135-b7292258-4359-5750-96d4-81147d4dca54
Q104630378	libcasey	Q104630378-5b91bd6c-49a8-0591-cde8-0cb3310b202d
Q104630428	cspanMcArdle	Q104630428-308baa7f-427b-0a41-9d60-7e2ca5e8ad37
Q104630462	pslen	Q104630462-71fd271a-42b8-5f92-b166-6d28fe1a56e4
Q104630503	Paulorgel	Q104630503-c4bdb7a6-4679-8bad-9707-492041fd5df3
Q104648170	RepTonyGonzales	Q104648170-8FD41911-A8DE-4E47-AA9A-35735B760009
Q104682052	lzall	Q104682052-74a1b6e9-4e30-63c8-3ade-279f4cf6170c
Q104704599	MsLaToshaBrown	Q104704599-a38ac8af-4250-edd1-0d8c-d682cb5aa467
Q1047146	CaseyCagle	Q1047146-F03F158B-656D-4322-B43E-C16A3C8E8788
Q1047146	caseycagle	Q1047146-d1c13da8-499a-cbcc-8dcb-279e5644ca01
Q104717188	isabelcguzman	Q104717188-52B30BFA-AC23-4CDA-A90D-103437B93386
Q104718940	ElieNYC	Q104718940-a5768272-4b9c-659d-9803-8102b2b21c10
Q104761974	InezFeltscher	Q104761974-0572815b-474c-8d6d-565d-009e547c1de6
Q104783603	realchrisrufo	Q104783603-1A4B74D5-BFFA-4D8D-923A-2996D87CCD4C
Q104835199	ShalandaYoung46	Q104835199-2f4ab310-4477-5df4-ecfe-c77611c5bd71
Q104894795	jpitney	Q104894795-b0223cca-46a8-64f0-1ae8-4bd0ea562e3f
Q105448418	aalayaheastmond	Q105448418-3142231b-4c1b-bf80-c9cf-ed9e14d12ccc
Q105459066	electfaniwillis	Q105459066-ac8c0999-48dd-66f1-0137-7cc6668cb8a3
Q105460	JohnDenverMusic	Q105460-5B6B0531-B8E0-4D49-A6EC-542A3684C749
Q105667131	JGiesberg	Q105667131-eaaa0748-4960-2c5b-a2ef-5cfb572ac9e3
