?qid	?target_col	?target_col_guid
Q100417135	UCO01ytfzgXYy4glnPJm4PPQ	Q100417135-766220ac-49b9-b125-7ef1-0cc40d67b91d
Q100526292	UCcnTNQG1_WkZ5h7go3B0Ntw	Q100526292-237568de-4e63-af02-2066-7eacaece79e7
Q101410	UCp1R4BFJrKw34PfUc3GDLkw	Q101410-9c4df26b-41e4-1d48-c86e-5189630c5768
Q101428652	UCBYoL67diOf4u4G0x4IGW2w	Q101428652-9d136f1e-46f6-0959-7e1f-11f7848319bc
Q101713828	UCds1zCSykUgdiY25KTJ_Cnw	Q101713828-ba3dfeb5-4aa9-8762-4b05-5c8966ddf3d8
Q1027026	UC1tuXL6ymImdpKYGEAH83QA	Q1027026-829299D3-1441-475A-AEC3-7C3C8A956331
Q1029527	UCXJbUDLYX-wGIhRuN66hqZw	Q1029527-7EBFC2F6-EA08-4CF9-903A-F5F4C8198B9C
Q10390	UC9IJssXDUaKHzwx6gW4wEoA	Q10390-84890624-3FD9-4868-8FAD-F17679AB9986
Q104532425	UCVgB8DZKNI6YwSa-pKUeb-g	Q104532425-b11631cb-4987-8c1c-2ce2-8175fd824684
Q1047146	UCbYRoOpw39pyWWcA_fibOyg	Q1047146-4CC8C236-C52A-4970-9FEB-6BFE6AA5993A
Q104783603	UC1O3YetEF6B8B7-HMjWXR3Q	Q104783603-81d6e0fa-4385-740f-20ed-1f890096c341
Q105460	UCB2ADTh5dbYcI46S-_ju7ww	Q105460-5ffd51e5-414c-21cf-6b5e-f3f19852e466
Q1058	UC1NF71EwP41VdjAU1iXdLkw	Q1058-bf4aa13f-2547-4d3c-acf4-6ea47cb0f880
Q1059265	UCkTfk-NcVzE1hk-svI6mclw	Q1059265-FC4F7EA0-AF14-4E4C-8991-A85572C225DD
Q107299118	UCePbQz1iC9qgNcxtAwv3_zQ	Q107299118-148666ef-49ff-2198-8f13-69f6e064d3ab
Q1076962	UCtGG8ucQgEJPeUPhJZ4M4jA	Q1076962-9B68160C-3FA5-46D3-80B3-31A9DA5DD373
Q1077594	UCbcEa40PIFpLpdDe06n3F3Q	Q1077594-E700F29F-DFDA-4128-9581-5D4792A5FE56
Q1077819	UCkpfJWu1N9Okd6PE_NidtBQ	Q1077819-3926B359-5991-47C8-97A8-1C12AD766FE2
