?qid	?target_col	?target_col_guid
Q101136890	M001135	Q101136890-324cf6ca-42f5-183a-b1d5-bd5873be8123
Q101196462	P000048	Q101196462-606b0b35-4811-948b-055a-f84bee4148c4
Q101196632	A000148	Q101196632-E007862A-2348-4EF2-A4F7-F25B5A010EE0
Q101196971	M001213	Q101196971-e1b3e0e4-45c0-d94e-5e40-f1f4ba65b942
Q101197341	H001086	Q101197341-2F466507-E360-47D5-AC96-A322F29BDFF3
Q101198561	F000472	Q101198561-85844442-41be-17ac-24b9-5c9bcc6f53ce
Q101204553	M001211	Q101204553-99b8daa4-440e-b581-d31a-f181d093d46b
Q101428652	C001130	Q101428652-3b9fecc9-4961-b2fd-1bbe-6e94139bc3c9
Q1018322	L000509	Q1018322-c501912f-4d1b-debf-9d80-480b632a71ab
Q102184540	M001136	Q102184540-0ae80feb-4bfe-7dbc-fda4-24aba7aa6bc3
Q102277679	C001116	Q102277679-7cf94340-4fa5-e67e-f19d-1daa1a7d1e92
Q102277702	C001054	Q102277702-984bba9b-49c9-ae79-bdfc-3f8d759c3888
Q1026119	D000424	Q1026119-12eb1168-4799-b713-898f-89488aaa63f6
Q1027026	D000615	Q1027026-b20513e0-4fb3-d463-99a7-ea30eae5ccd3
Q1027431	W000647	Q1027431-676bcb31-4c3f-4435-f8a6-b3c0045d1bc3
Q1027684	W000038	Q1027684-ee67df7f-4624-99cb-1f94-7fcc323d4cfd
Q1029527	W000809	Q1029527-75046cb2-480a-b63d-1f9c-6f2b8f2cab7d
Q1037241	P000229	Q1037241-60013cdc-4f71-2bfe-ac01-c9492678035f
Q1037428	P000230	Q1037428-fa156b13-478f-a197-da29-2012efc1d3c0
Q103850475	G000595	Q103850475-A1949782-DD27-416E-96F6-4F8839F8E100
Q10390	M000303	Q10390-de9d772c-46f0-9d4b-b975-fdf029bde7b1
Q104148369	C001131	Q104148369-35B194F7-8296-465B-A5AE-D7A92174616A
Q1043079	M000926	Q1043079-4af63cf5-46d2-22fb-4241-d6842810dff4
Q1045188	H000878	Q1045188-569ef54d-4410-871a-b6b9-1774184f384c
Q1045798	G000561	Q1045798-b4e3c678-4fd1-2850-cec0-33d0ff8de280
Q104648170	G000594	Q104648170-EF8CCAC0-9D67-426C-9463-88CC2739442F
Q1048182	B000104	Q1048182-d1afdbb6-420a-7fee-badc-212a000468fa
Q105061782	E000071	Q105061782-2c2fb41d-4684-cfab-3fc6-8c3cee9273df
Q1052306	H000449	Q1052306-57774dcf-4fdb-8cd1-808d-bb65cffa7194
Q1059265	F000043	Q1059265-df7c0de9-4ed9-37ff-0af0-628889725617
Q106089241	L000595	Q106089241-1436de5d-407c-c81c-66e4-7e9e66c79617
Q1063677	B000220	Q1063677-a9d81382-4d37-e786-e930-6e34515440c3
Q1064244	B000371	Q1064244-b3979f72-4e1d-9b2b-e029-dd96d8b581fd
Q1064383	H000340	Q1064383-bc05f5c4-4496-9e5b-5599-3c97e3a7d08d
Q1064593	R000436	Q1064593-bf4ac683-44b2-e69b-4a22-864b3ed5dfd1
Q1064692	P000222	Q1064692-c6785642-4db0-abbb-d6c3-ea41267f91d7
Q1064695	T000067	Q1064695-1044d7a7-4f6c-a7f1-f51e-2b436255331c
Q1064774	H000388	Q1064774-3c475612-434b-87c3-356c-f743f911a03a
Q106522145	M001222	Q106522145-2a157811-4421-ad03-c03b-faf64889b37e
Q1065683	W000419	Q1065683-d34026f1-451b-9b0c-1f9f-38f42a34e96a
Q1065727	P000097	Q1065727-aebf41b8-4a4f-1ca6-eddb-b81fbbdb1e0b
Q1065931	B000845	Q1065931-cba6a7ad-444b-341c-3bf5-0450532d78dc
Q1066931	L000507	Q1066931-42cea1f5-4156-d823-0e24-256089e3d7e0
Q1070716	A000226	Q1070716-ae314bdc-4f07-1eb6-385b-218d0817cd1d
Q1071782	H000439	Q1071782-bf35bb0d-42a6-b6c6-c5f9-66c76920c404
Q1074506	C001086	Q1074506-c20e5e7b-4703-0234-4939-0d198ae3c324
Q1076991	B001241	Q1076991-3cb9e2ae-40b7-fbed-10fd-c005e4d2f30f
Q1077380	J000110	Q1077380-ee87bb0b-4d3f-e00b-40ba-37aa7316da49
Q1077474	L000568	Q1077474-39232f98-4130-6a88-fbac-49367e714eb2
Q1077594	M001169	Q1077594-fccaef2f-4e5b-a703-d47e-f01667e99e2b
Q1077819	V000128	Q1077819-706423c6-40e2-fad7-8fbb-89424cb6759f
