?qid	?target_col	?target_col_guid
Q101486630	"Al_Schmidt"	Q101486630-d0ed5523-4973-9f3a-e75e-5c9ae78cb04e
Q102184540	"Lisa_McClain"	Q102184540-234e6c51-4da8-ac19-21dd-92b61ba769b1
Q102277702	"Jerry_Carl"	Q102277702-481c4d49-46b3-f360-06f0-d57a29312e46
Q1027026	"Jeff_Duncan"	Q1027026-A971A5E3-7DCF-42B6-B63E-0F0E4050F3A9
Q1029527	"Steve_Womack"	Q1029527-97E9D925-8E2A-433D-A8EA-B66B8F198B0D
Q103850475	"Bob_Good"	Q103850475-d3dfc9ad-4736-ab0e-2ed9-81780659b637
Q10390	"John_McCain"	Q10390-19DAB632-B8F2-4A77-9034-B14586D268E3
Q1047146	"Casey_Cagle"	Q1047146-bbcd6dab-4a60-7350-14e2-cbd1a40174af
Q104835199	"Shalanda_Young"	Q104835199-17912b9f-4f20-fa8f-28dc-6badeee6fa82
Q105459066	"Fani_Willis"	Q105459066-eeec2cdb-418e-66a4-b18b-ade32c5963ff
Q1059265	"Chaka_Fattah"	Q1059265-1FD9DC54-A6E8-45ED-9C64-205B4281FEE2
Q106089241	"Julia_Letlow"	Q106089241-547dded7-4b48-067d-7229-cb761d4d6a82
Q106287238	"Candace_Jackson-Akiwumi"	Q106287238-4C9B5446-89E2-4A5B-8869-2D2E673C8905
Q106315139	"Valerie_Arkoosh"	Q106315139-9b7c40ab-4fe2-cf30-1b62-519fdb68950b
Q106399446	"Kathy_Barnette"	Q106399446-c0267921-4a12-be2e-49c5-cce842f95861
Q107299118	"Matt_Mahan"	Q107299118-9f19679b-4615-0e1b-61c1-4adda074fda5
Q1077594	"Christopher_S._Murphy"	Q1077594-6928D75F-46BA-41A1-913F-391B7C1B06CF
Q1077819	"Chris_Van_Hollen"	Q1077819-38D7D9E8-C267-4187-B21F-3F9DF00DBF77
Q10853588	"Kamala_Harris"	Q10853588-91d65b21-48b1-bcdf-fddc-060f773a984f
Q1100710	"Jay_Inslee"	Q1100710-433BAFA1-4420-4B7D-AA01-42D0D809A207
Q110434665	"Wesley_Hunt_(Texas_Congress)"	Q110434665-caf55984-4dcb-d2e2-532e-19972339aaa7
Q110815967	"Harriet_Hageman"	Q110815967-7343f39b-48a3-f529-4aa8-ef83f0ba907f
Q11100	"Deval_Patrick"	Q11100-862B06DA-BF32-44D1-8B0E-D4450A87CCFD
Q11105	"Elena_Kagan"	Q11105-5CEFF735-3DAE-42E8-BA76-D1A26FF3357C
Q11107	"Sonia_Sotomayor"	Q11107-C5DA9B08-8D14-4FC9-9418-C081B4296B40
Q11109	"John_Paul_Stevens"	Q11109-04F4ACCF-E54D-456D-8389-2FC00E3D27A4
Q111159803	"Brad_Finstad"	Q111159803-cb10637c-4c4e-5903-a403-3e2bf143d7d5
Q11116	"Ruth_Bader_Ginsburg"	Q11116-0817D162-2CC1-4B9C-B1EA-A0AA41479457
Q11124	"Stephen_Breyer"	Q11124-D0AEAB76-A89D-4011-94A9-4BE7E8E0FBEB
Q1112656	"Peter_Welch"	Q1112656-13C52988-A490-4E46-A8AA-76A52830D868
Q11132	"Sandra_Day_O'Connor"	Q11132-6C4B4466-C038-469C-9801-92B4AE38D90C
Q11138	"Samuel_Alito"	Q11138-0A32C1E7-9986-4340-89B8-47C60035D986
Q11142	"Clarence_Thomas_(Supreme_Court)"	Q11142-579F0C9A-8946-4C66-9F70-CCB61980F3C3
Q11153	"John_Roberts_(Supreme_Court)"	Q11153-A96E53E3-6F64-463B-AD8E-3B610EBF4EC1
Q11156	"Antonin_Scalia"	Q11156-AFE114AD-517E-4823-930A-DB5ACCD94245
Q111623114	"Andy_Ogles"	Q111623114-c0749793-4f3c-519c-1bbb-42b26c6ba64c
Q11171	"Anthony_Kennedy"	Q11171-E5176657-0BC7-498C-853D-14C7E18EC8F8
Q111961602	"Jim_Pillen"	Q111961602-ea3b25e3-418d-df3b-2ebe-a4df0f909b4e
Q1124	"Bill_Clinton"	Q1124-c6139c39-4e8e-2166-a2f3-94cd8150a54b
Q112577890	"Mayra_Flores"	Q112577890-2e563589-44de-7ce7-0071-1b2eb3f18fed
Q113382855	"Tudor_Dixon"	Q113382855-c1394ee8-4dcf-7fbc-3d77-b83f8a3dbf59
Q1135767	"Cory_Booker"	Q1135767-47A7F71A-FDBB-41BA-B949-AA70205C3F11
Q1135774	"Cory_Gardner"	Q1135774-28D2BA73-8DFD-40AE-A290-CF8F4589D056
Q113588013	"Joe_Sempolinski"	Q113588013-45c0c824-41c6-f33d-8f7a-254579d0247e
Q113990215	"Kelly_Tshibaka"	Q113990215-b4a813b9-43d6-81ee-4a35-7a3cf96d2c6e
Q115148600	"Zooey_Zephyr"	Q115148600-fa77c147-42a2-9aaf-31b3-58709d9aa759
Q115170395	"George_Devolder-Santos"	Q115170395-775f7e1c-4d0e-79b1-e594-0f56a546a7af
Q115177238	"Adrian_Fontes"	Q115177238-c53b8fb6-4901-5b9b-08a3-9a8933f5f04b
Q115220916	"Juan_Ciscomani"	Q115220916-a6fd3b16-4c65-8797-3a36-36f1cc4d36f6
Q1158992	"Dan_Benishek"	Q1158992-07526A34-254E-49A0-925C-69A1254271C9
Q11607	"Jon_Huntsman_Jr."	Q11607-F99F6267-4E05-4DB1-8AE2-696A224E6ACC
Q11613	"Harry_S._Truman"	Q11613-a131a39f-47cf-1144-775c-142a6daeee8c
Q1163099	"Daniel_Webster"	Q1163099-5BE4F07A-38F0-4FCB-AF09-9BAB185B07F0
Q1164657	"Danny_K._Davis"	Q1164657-2A05AEA2-0A51-41D8-B0C0-C13DC9A98B15
Q1166592	"Darrell_Issa"	Q1166592-E88961E8-C4C5-4E1A-8421-CF085A20B118
Q11668	"Nikki_Haley"	Q11668-1636990d-4f64-23db-efb6-a4e0efde71bf
Q11669	"Mark_Sanford"	Q11669-0954058A-B1DB-4D02-8C85-B7C96F93543D
Q11673	"Andrew_Cuomo"	Q11673-C062B720-2B30-4A03-AED5-BFEFF86FD668
Q11676	"George_Pataki"	Q11676-7a5d3c7c-43d1-e893-a020-bdb6302da6ce
Q1167934	"Joaquin_Castro"	Q1167934-F59E2719-BDCA-4F18-9FBF-7B30C2DAC9C2
Q11702	"John_Boehner"	Q11702-1ac31369-4c3d-77f5-c130-05118ce683dd
Q1174271	"David_Bonior"	Q1174271-b7723780-43db-4f90-fe1c-c070a0c6f918
Q1175610	"David_McKinley"	Q1175610-92D97B54-4F4E-4BCC-9E36-902102401BAA
Q1176561	"David_Schweikert"	Q1176561-9A63DD15-251D-464E-B4BC-113584FA03D0
Q118750037	"Brent_Webster"	Q118750037-290fcf0b-4f9b-85e1-256a-420b21933b58
Q1188940	"Dennis_A._Ross"	Q1188940-173AB61E-BFA8-4A7E-9E66-593E0238E95E
Q119270224	"Karla_Hernandez"	Q119270224-742d8663-4f63-0fc8-8786-4ffbf4cf2094
Q1210194	"Byron_Brown"	Q1210194-1740be43-4b3c-0908-076f-316c56ac5075
Q121337973	"Laphonza_Butler"	Q121337973-0ba581ce-471e-c910-7cc1-96e0e4367855
Q121746575	"Ryan_Binkley"	Q121746575-341b7f5a-4489-0d08-9ada-7554c52f5baf
Q123458925	"Susan_Swecker"	Q123458925-01cd3991-4994-e3da-b2f6-02cd7da6b3d4
Q1235731	"Mick_Mulvaney"	Q1235731-0504623B-0974-4012-8B7B-101FDC1CB92A
Q1239590	"Don_Young_(Alaska)"	Q1239590-3E09C471-7548-4DF9-9A1E-BF45910E0CE2
Q1240224	"Donald_Payne_Jr."	Q1240224-D0036100-89CF-4B90-924E-F383740A206E
Q124386475	"Edward_T._O'Donnell"	Q124386475-d9d1cc67-4748-7302-5056-093b1f299837
Q124816461	"K.C._Crosbie"	Q124816461-b97f3a89-41f3-2207-7369-43ec0130bcf9
Q1281084	"Alan_Grayson"	Q1281084-C9FF5C49-D44F-4539-9782-982160486FE4
Q1282411	"Ed_Markey"	Q1282411-741B580F-CE4D-4D87-A695-5619BC4ACD12
Q1282477	"Edward_Royce"	Q1282477-3bbe73d7-403d-89ce-66cd-0b835da71fd5
Q1287635	"Neel_Kashkari"	Q1287635-bc58c633-470b-7da0-6658-bb4e4fdbb12e
Q1289889	"James_E._Clyburn"	Q1289889-1A5BC88A-1F72-4AF4-9D94-02CD8F2DDFE9
Q12908	"George_Soros"	Q12908-d13c795d-4d5d-bb4c-cea7-f8836ba22769
Q130024	"Johnny_Isakson"	Q130024-D5310552-6E09-40FF-B827-846C208D005E
Q13133	"Michelle_Obama"	Q13133-948f766f-4c73-7905-73e0-37fedc389d3b
Q132071	"David_Scott_(Georgia)"	Q132071-E7FDF856-1CFC-4347-99CE-FC1715500545
Q1323196	"Mike_Thompson_(California)"	Q1323196-1A7E5C8E-EBEB-43FB-A935-DF32E245A953
Q1324820	"Elaine_Marshall"	Q1324820-8a5e473a-464c-0af5-cf25-20e7c7424eb5
Q1329618	"Eliot_Engel"	Q1329618-8777058C-77FB-4E81-9D48-75B4C81E027B
Q1334654	"Emanuel_Cleaver"	Q1334654-0D66D23F-79A7-4350-B8C0-E8CFFBD5C3C4
Q1337459	"Jim_McGovern_(Massachusetts)"	Q1337459-03FED6CE-64CB-45BC-A134-3080DB5BD497
Q1340268	"John_Garamendi"	Q1340268-A84AF150-0557-4DE8-9467-4057DCEFA8F1
Q134035	"Rodney_Davis_(Illinois)"	Q134035-BF85CBF0-48D9-4291-AB02-DEA01CE4A8C8
Q1344200	"Michael_F._Doyle"	Q1344200-2310EE4B-43C7-4AB3-A7AE-8B5659C8201D
